Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,450,1,2025-03-27,MIL,@,NYY,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.07,-0.105,0.95,-0.06%,-0.85,0.00,0.00,3,C
2,451,2,2025-03-29,MIL,@,NYY,L 9-20,GS-7,4,4,0,1,0,0,0,0,0,0,0,2,.125,.125,.125,.250,1,0,0,0,0,0,.500,0.84,-0.090,0.72,-0.05%,-0.45,3.00,3.00,3,C
3,452,3,2025-03-30,MIL,@,NYY,L 3-12,GS-8,4,3,1,1,0,0,0,0,0,0,1,0,.182,.250,.182,.432,1,0,0,0,0,0,.333,0.76,0.008,0.60,0.00%,0.04,7.00,9.20,4,C
4,453,4,2025-03-31,MIL,,KCR,L 1-11,CG,4,3,0,0,0,0,0,0,0,0,1,2,.143,.250,.143,.393,0,0,0,0,0,0,.000,0.50,-0.050,0.38,-0.02%,-0.26,2.00,3.00,3,C
5,454,5,2025-04-01,MIL,,KCR,W 5-0,CG,4,2,1,0,0,0,0,0,0,0,2,1,.125,.300,.125,.425,0,0,0,0,0,0,.000,0.58,-0.005,0.43,0.00%,0.01,6.00,9.20,4,DH
6,455,6,2025-04-02,MIL,,KCR,W 3-2 (11),CG(11),5,4,0,0,0,0,0,0,0,0,1,2,.100,.280,.100,.380,0,0,0,0,0,1,.000,1.41,-0.122,1.07,-0.06%,-0.65,2.00,3.00,4,C
7,456,7,2025-04-03,MIL,,CIN,W 1-0,CG,4,4,0,0,0,0,0,0,0,0,0,0,.083,.241,.083,.325,0,0,0,0,0,0,.000,0.79,0.012,0.69,0.01%,-0.04,0.00,0.00,3,C
8,457,8,2025-04-04,MIL,,CIN,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,0,.074,.242,.074,.316,0,0,0,0,0,0,.000,0.59,-0.047,0.53,-0.03%,-0.57,2.00,3.00,4,C
9,458,9,2025-04-05,MIL,,CIN,L 7-11,CG,5,4,2,1,0,0,0,0,0,0,1,1,.097,.263,.097,.360,1,0,0,0,0,0,.333,0.71,0.004,0.67,0.00%,0.19,9.00,12.40,4,C
10,459,11,2025-04-08,MIL,@,COL,W 7-1,CG,4,4,2,2,0,0,1,2,0,0,0,1,.143,.286,.229,.514,5,0,0,0,0,0,.500,0.62,0.047,0.58,0.03%,1.16,21.00,28.40,3,C
11,460,12,2025-04-09,MIL,@,COL,W 17-2,GS-9,5,4,2,1,0,0,1,2,0,0,1,1,.154,.298,.308,.606,4,0,0,0,0,0,.000,0.38,0.080,0.37,0.05%,1.36,20.00,28.40,4,C
12,461,13,2025-04-10,MIL,@,COL,L 2-7,CG,4,3,0,1,1,0,0,1,0,0,1,1,.167,.314,.333,.647,2,0,0,0,0,0,.500,1.99,0.207,2.02,0.13%,1.33,9.00,12.50,4,DH
13,462,14,2025-04-11,MIL,@,ARI,W 7-0,CG,5,4,0,1,0,0,0,2,0,0,0,0,.174,.304,.326,.630,1,0,0,0,1,0,.200,0.55,-0.019,0.54,-0.01%,0.44,7.00,10.00,3,C
14,463,15,2025-04-12,MIL,@,ARI,L 4-5,CG,4,4,1,2,1,0,0,1,0,0,0,0,.200,.317,.360,.677,3,0,0,0,0,0,.500,0.54,0.034,0.58,0.02%,1.20,12.00,15.70,4,C
15,464,16,2025-04-13,MIL,@,ARI,L 2-5,CG,4,4,1,2,0,0,1,2,0,0,0,1,.222,.328,.426,.754,5,0,0,0,0,0,.500,1.00,0.134,1.04,0.08%,1.73,19.00,25.20,4,C
16,465,17,2025-04-14,MIL,,DET,L 1-9,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,.228,.328,.421,.749,1,0,0,0,0,0,.333,0.17,-0.009,0.15,-0.01%,0.12,3.00,3.00,3,C
17,466,18,2025-04-15,MIL,,DET,W 5-0,CG,5,4,1,1,0,0,0,1,0,0,1,0,.230,.333,.410,.743,1,0,0,0,0,0,.250,0.43,-0.007,0.35,0.00%,-0.46,9.00,12.70,3,C
18,467,19,2025-04-16,MIL,,DET,W 5-1,CG,4,3,0,1,0,0,0,0,1,0,1,1,.234,.342,.406,.748,1,0,0,0,0,1,.500,0.38,0.007,0.34,0.00%,0.18,10.00,12.00,4,C
19,468,20,2025-04-18,MIL,,ATH,W 5-3,CG,4,4,0,1,0,0,0,1,1,0,0,1,.235,.338,.397,.735,1,0,0,0,0,0,.333,0.50,-0.029,0.47,-0.02%,0.05,10.00,12.50,4,C
20,469,21,2025-04-19,MIL,,ATH,L 1-3,CG,3,3,0,0,0,0,0,0,0,0,0,0,.225,.325,.380,.706,0,0,0,0,0,0,.000,1.08,-0.084,1.06,-0.05%,-0.59,0.00,0.00,4,C
21,470,22,2025-04-20,MIL,,ATH,W 14-1,CG,5,3,1,2,0,0,0,1,1,0,2,1,.243,.352,.392,.744,2,0,0,0,0,0,1.000,0.57,0.096,0.54,0.05%,3.01,19.00,24.70,4,DH
22,471,23,2025-04-21,MIL,@,SFG,L 2-5,CG,4,3,0,1,0,0,0,0,0,0,1,1,.247,.359,.390,.748,1,0,0,0,0,0,.500,1.11,-0.049,1.13,-0.03%,-0.27,5.00,6.00,4,C
23,472,24,2025-04-22,MIL,@,SFG,W 11-3,GS-8,5,5,0,1,0,0,0,2,0,0,0,1,.244,.351,.378,.729,1,0,0,0,0,0,.250,0.66,0.057,0.66,0.03%,0.33,7.00,10.00,4,C
24,473,25,2025-04-23,MIL,@,SFG,L 2-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.244,.347,.372,.719,1,0,0,0,0,0,.250,0.98,-0.031,1.04,-0.02%,-0.51,3.00,3.00,4,C
25,474,27,2025-04-25,MIL,@,STL,L 2-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.244,.343,.367,.710,1,0,0,0,0,0,.333,1.38,0.080,1.38,0.05%,0.04,3.00,3.00,4,C
26,475,28,2025-04-26,MIL,@,STL,L 5-6,CG,5,4,1,1,0,0,0,0,0,0,1,0,.245,.345,.362,.707,1,0,0,0,0,0,.250,1.07,-0.022,0.99,-0.01%,0.05,7.00,9.20,4,C
27,476,29,2025-04-27,MIL,@,STL,W 7-1,CG,5,4,1,1,0,0,0,1,0,0,1,1,.245,.348,.357,.705,1,0,0,0,0,0,.333,0.57,0.068,0.50,0.04%,0.29,9.00,12.70,4,C
28,477,30,2025-04-29,MIL,@,CHW,W 7-2,CG,5,3,1,1,0,0,0,1,1,0,2,0,.248,.358,.356,.715,1,0,0,0,0,1,.333,1.41,0.193,1.21,0.10%,1.39,16.00,21.70,3,C
29,478,31,2025-04-30,MIL,@,CHW,W 6-4,CG,5,3,2,2,0,0,0,1,0,0,2,0,.260,.376,.365,.741,2,0,0,0,0,0,.667,0.94,0.208,0.87,0.12%,1.66,16.00,21.90,4,C
30,479,32,2025-05-01,MIL,@,CHW,L 0-8,CG,4,4,0,0,0,0,0,0,0,0,0,0,.250,.364,.352,.716,0,0,0,0,0,0,.000,0.94,-0.090,0.90,-0.05%,-1.11,0.00,0.00,4,LF DH
31,480,33,2025-05-02,MIL,,CHC,L 0-10,GS-8,3,3,0,1,0,0,0,0,0,0,0,0,.252,.364,.351,.715,1,0,0,0,0,0,.333,0.09,0.004,0.09,0.00%,-0.01,3.00,3.00,4,C
32,481,34,2025-05-03,MIL,,CHC,L 2-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.243,.353,.339,.692,0,1,0,0,0,0,.000,0.90,-0.108,0.87,-0.06%,-1.50,0.00,0.00,3,C
33,482,35,2025-05-04,MIL,,CHC,W 4-0,CG,4,2,0,1,0,0,0,0,0,0,2,1,.248,.364,.342,.706,1,0,0,0,0,0,1.000,1.01,0.060,0.94,0.03%,0.92,7.00,9.00,3,C
34,483,36,2025-05-05,MIL,,HOU,W 5-1,CG,4,4,1,1,0,0,0,1,0,0,0,3,.248,.361,.339,.700,1,0,0,0,0,0,1.000,0.84,0.053,0.71,0.03%,-0.23,7.00,9.70,3,C
35,484,37,2025-05-06,MIL,,HOU,W 4-3,CG,4,3,1,0,0,0,0,0,0,0,1,2,.242,.358,.331,.689,0,0,0,0,0,0,.000,0.88,-0.035,0.78,-0.02%,-0.83,4.00,6.20,3,C
36,485,39,2025-05-09,MIL,@,TBR,L 3-4,CG,4,3,1,1,0,0,0,1,0,0,1,1,.244,.362,.331,.693,1,0,0,0,0,0,.500,1.87,0.002,1.67,0.00%,0.56,9.00,12.70,3,C
37,486,40,2025-05-10,MIL,@,TBR,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.237,.353,.321,.673,0,0,0,0,0,0,.000,0.98,0.061,0.83,0.03%,-0.06,0.00,0.00,3,C
38,487,41,2025-05-11,MIL,@,TBR,W 4-2,CG,4,4,1,1,0,0,1,1,0,0,0,1,.237,.350,.341,.691,4,0,0,0,0,0,.000,0.88,0.054,0.69,0.03%,0.20,14.00,18.70,4,C
39,488,42,2025-05-12,MIL,@,CLE,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,1,.230,.341,.331,.672,0,1,0,0,0,0,.000,1.21,-0.163,1.00,-0.08%,-1.77,0.00,0.00,4,C
40,489,43,2025-05-13,MIL,@,CLE,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.224,.333,.322,.655,0,0,0,0,0,0,.000,1.23,-0.121,0.93,-0.06%,-0.91,0.00,0.00,3,DH
41,490,44,2025-05-14,MIL,@,CLE,W 9-5,CG,5,4,4,3,1,0,0,0,0,0,1,0,.238,.347,.340,.687,4,0,0,0,0,0,.750,0.65,0.098,0.48,0.04%,1.30,21.00,27.80,4,C
42,491,45,2025-05-16,MIL,,MIN,L 0-3,CG,4,4,0,2,1,0,0,0,0,0,0,1,.245,.350,.351,.701,3,0,0,0,0,0,.667,0.83,0.032,0.65,0.02%,0.21,8.00,9.00,2,C
43,492,46,2025-05-17,MIL,,MIN,L 0-7,GS-8,3,2,0,0,0,0,0,0,0,0,1,0,.242,.350,.346,.696,0,0,0,0,0,0,.000,0.78,-0.011,0.54,-0.01%,-0.32,2.00,3.00,4,C
44,493,47,2025-05-18,MIL,,MIN,W 5-2,CG,4,2,2,0,0,0,0,0,0,0,2,1,.239,.353,.342,.695,0,0,0,0,0,0,.000,0.34,0.010,0.21,0.00%,0.41,8.00,12.40,3,C
45,494,48,2025-05-19,MIL,,BAL,W 5-4,CG,5,4,0,4,2,0,0,2,1,0,1,0,.258,.370,.371,.741,6,0,0,0,0,0,1.000,0.99,0.411,0.66,0.16%,3.04,27.00,34.00,2,C
46,495,49,2025-05-20,MIL,,BAL,W 5-2,CG,4,2,0,0,0,0,0,0,0,0,2,0,.255,.373,.366,.740,0,0,0,0,0,0,.000,0.65,-0.007,0.48,0.00%,0.29,4.00,6.00,3,C
47,496,51,2025-05-22,MIL,@,PIT,W 8-5,CG,4,4,1,1,0,0,0,0,0,0,0,1,.255,.371,.364,.734,1,0,0,0,0,0,.333,0.82,-0.026,0.59,-0.01%,-0.66,5.00,6.20,3,C
48,497,52,2025-05-23,MIL,@,PIT,L 5-6 (10),CG(10),5,5,1,1,0,0,1,1,0,0,0,3,.253,.366,.376,.743,4,0,0,0,0,0,.000,1.56,0.238,1.27,0.12%,-0.30,14.00,18.70,3,C
49,498,53,2025-05-24,MIL,@,PIT,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.253,.364,.374,.738,1,0,0,0,0,0,.333,1.44,0.000,0.00,0.00%,-0.33,3.00,3.00,3,C
50,499,54,2025-05-25,MIL,@,PIT,W 6-5,CG,5,4,0,0,0,0,0,0,0,0,1,0,.247,.360,.365,.725,0,0,0,0,0,0,.000,0.89,-0.080,0.64,-0.03%,-0.54,2.00,3.00,2,C
51,500,55,2025-05-26,MIL,,BOS,W 3-2,CG,4,2,1,0,0,0,0,0,0,0,2,2,.244,.363,.361,.724,0,0,0,0,0,0,,0.61,-0.004,0.42,0.00%,-0.01,6.00,9.20,3,DH
52,501,56,2025-05-27,MIL,,BOS,W 5-1 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,2,.238,.355,.351,.706,0,0,0,0,0,0,.000,2.10,-0.283,1.57,-0.13%,-1.79,0.00,0.00,3,C
53,502,57,2025-05-28,MIL,,BOS,W 6-5 (10),GS-10,5,4,1,0,0,0,0,0,0,0,1,1,.233,.351,.344,.695,0,0,0,0,0,0,.000,1.49,-0.094,1.14,-0.04%,-0.54,4.00,6.20,4,C
