Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,437,1,2020-07-24,CHC,,MIL,W 3-0,CG,3,3,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.82,-0.062,0.96,-0.04%,-0.80,5,C
2,438,2,2020-07-25,CHC,,MIL,L 3-8,CG,4,3,0,1,0,0,0,1,0,0,0,2,.167,.286,.167,.452,1,0,1,0,0,0,1.000,1.05,0.071,1.23,0.05%,0.99,5,DH
3,439,3,2020-07-26,CHC,,MIL,W 9-1,CG,4,4,2,2,1,0,1,2,0,0,0,2,.300,.364,.700,1.064,6,0,0,0,0,0,1.000,0.73,0.077,0.87,0.06%,1.52,5,C
4,440,4,2020-07-27,CHC,@,CIN,W 8-7,CG,5,4,2,2,1,0,0,1,0,0,0,1,.357,.438,.714,1.152,3,0,1,0,0,0,.667,0.48,0.097,0.57,0.07%,0.99,5,C
5,441,6,2020-07-29,CHC,@,CIN,L 7-12,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.313,.389,.625,1.014,0,0,0,0,0,0,.000,1.04,-0.056,1.19,-0.04%,-0.55,5,C
6,442,7,2020-07-31,CHC,,PIT,W 6-3,CG,5,4,0,1,1,0,0,0,0,0,1,2,.300,.391,.600,.991,2,1,0,0,0,0,.500,0.77,-0.052,0.95,-0.04%,-1.67,5,DH
7,443,8,2020-08-01,CHC,,PIT,W 4-3,CG,4,3,0,2,1,0,0,0,0,1,0,1,.348,.444,.652,1.097,3,0,1,0,0,0,1.000,0.53,0.081,0.62,0.06%,0.75,5,C
8,444,9,2020-08-02,CHC,,PIT,W 2-1 (11),CG(11),4,4,1,1,1,0,0,0,0,0,0,1,.333,.419,.630,1.049,2,0,0,0,0,0,.333,1.51,-0.039,1.71,-0.03%,-0.14,4,C
9,445,10,2020-08-03,CHC,,KCR,W 2-0,CG,4,4,0,0,0,0,0,0,0,0,0,3,.290,.371,.548,.920,0,0,0,0,0,0,.000,1.01,-0.108,0.97,-0.06%,-1.24,4,C
10,446,11,2020-08-04,CHC,,KCR,W 5-4,CG,4,4,2,2,0,0,1,1,0,0,0,0,.314,.385,.629,1.013,5,1,0,0,0,0,.333,0.72,0.011,0.64,0.01%,0.31,5,C
11,447,12,2020-08-05,CHC,@,KCR,W 6-1,CG,4,4,0,1,0,0,0,1,1,0,0,2,.308,.372,.590,.962,1,1,0,0,0,0,.500,0.97,-0.031,0.74,-0.01%,0.01,4,DH
12,448,13,2020-08-06,CHC,@,KCR,L 2-13,GS-4,2,2,0,1,0,0,0,0,0,0,0,1,.317,.378,.585,.963,1,0,0,0,0,0,1.000,0.54,-0.020,0.36,-0.01%,0.14,5,C
13,449,14,2020-08-11,CHC,@,CLE,W 7-1,CG,5,4,1,1,0,0,0,1,0,0,0,1,.311,.360,.556,.916,1,1,0,0,1,0,.250,0.95,-0.035,0.72,-0.02%,-1.41,5,C
14,450,15,2020-08-12,CHC,@,CLE,W 7-2,GS-5,3,3,0,0,0,0,0,0,0,0,0,2,.292,.340,.521,.860,0,0,0,0,0,0,.000,1.28,-0.105,0.86,-0.04%,-1.19,4,C
15,451,16,2020-08-13,CHC,,MIL,W 4-2,CG,4,2,1,0,0,0,0,0,0,0,1,1,.280,.351,.500,.851,0,0,1,0,0,0,.000,0.36,0.015,0.24,0.01%,0.24,4,DH
16,452,17,2020-08-14,CHC,,MIL,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,3,.259,.328,.463,.791,0,0,0,0,0,0,.000,1.76,-0.193,0.98,-0.06%,-1.07,5,C
17,453,18,2020-08-15,CHC,,MIL,L 5-6 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,1,.241,.318,.431,.749,0,0,0,0,0,0,.000,1.74,-0.189,1.12,-0.07%,-0.82,5,C
18,454,19,2020-08-16,CHC,,MIL,L 5-6,CG,4,2,2,0,0,0,0,0,0,0,1,2,.233,.329,.417,.745,0,0,1,0,0,0,,1.67,-0.007,1.28,0.00%,0.10,3,C
19,455,20,2020-08-17 (1),CHC,,STL,L 1-3 (7),CG(7),3,2,0,0,0,0,0,0,0,0,1,0,.226,.329,.403,.732,0,0,0,0,0,1,.000,1.67,-0.083,1.48,-0.04%,-0.39,4,C
20,456,21,2020-08-17 (2),CHC,,STL,W 5-4 (7),CG(7),4,3,1,1,1,0,0,1,0,0,1,0,.231,.338,.415,.753,2,0,0,0,0,0,.333,1.48,0.056,1.52,0.04%,0.81,5,C DH
21,457,22,2020-08-18,CHC,,STL,W 6-3,CG,5,4,1,0,0,0,0,0,0,0,1,3,.217,.329,.391,.721,0,0,0,0,0,0,.000,0.49,-0.010,0.46,-0.01%,-0.49,5,DH
22,458,23,2020-08-19 (1),CHC,,STL,L 3-9 (7),GS-6,2,0,0,0,0,0,0,0,0,0,2,0,.217,.345,.391,.737,0,0,0,0,0,0,,0.72,0.052,0.58,0.03%,0.61,5,C
23,459,24,2020-08-19 (2),CHC,,STL,W 4-2 (7),CG(7),3,2,2,1,0,0,0,0,0,0,1,0,.225,.356,.394,.751,1,0,0,0,0,0,.500,1.88,0.166,1.75,0.09%,1.06,5,C DH
24,460,25,2020-08-21,CHC,,CHW,L 1-10,GS-5,2,2,0,0,0,0,0,0,0,0,0,0,.219,.348,.384,.732,0,0,0,0,0,0,.000,0.57,-0.030,0.40,-0.01%,-0.50,4,C
25,461,26,2020-08-22,CHC,,CHW,L 4-7,CG,4,3,1,1,0,0,0,1,0,0,0,1,.224,.355,.382,.736,1,0,1,0,0,0,.500,1.20,0.070,0.91,0.03%,1.02,5,C
26,462,27,2020-08-23,CHC,,CHW,W 2-1,CG,3,3,0,0,0,0,0,0,0,0,0,0,.215,.344,.367,.711,0,0,0,0,0,0,.000,1.48,-0.222,1.29,-0.12%,-1.89,5,DH
27,463,28,2020-08-24,CHC,@,DET,W 9-3,CG,5,5,1,1,0,0,0,0,0,0,0,1,.214,.337,.357,.694,1,0,0,0,0,0,.250,0.47,-0.065,0.34,-0.03%,-1.53,5,C
28,464,29,2020-08-25,CHC,@,DET,L 1-7,CG,4,4,1,1,0,0,1,1,0,0,0,1,.216,.333,.386,.720,4,0,0,0,0,0,.000,0.94,-0.090,0.62,-0.04%,0.21,5,C
29,465,30,2020-08-26,CHC,@,DET,L 6-7,CG,4,4,0,0,0,0,0,0,0,0,0,2,.207,.321,.370,.691,0,0,0,0,0,0,.000,0.62,-0.064,0.44,-0.03%,-0.84,5,C
30,466,31,2020-08-28,CHC,@,CIN,L 5-6,CG,4,4,1,1,0,0,1,2,0,0,0,2,.208,.319,.396,.714,4,0,0,0,0,0,.000,0.64,-0.031,0.59,-0.02%,1.12,5,DH
31,467,32,2020-08-29 (1),CHC,@,CIN,W 3-0 (7),CG(7),3,3,0,1,0,0,0,0,0,0,0,1,.212,.319,.394,.713,1,0,0,0,0,0,.500,0.95,0.065,1.00,0.04%,0.33,5,DH
32,468,33,2020-08-29 (2),CHC,@,CIN,L 5-6 (7),CG(7),4,4,1,0,0,0,0,0,0,0,0,1,.204,.308,.379,.687,0,0,0,0,0,0,.000,1.64,-0.182,1.44,-0.10%,-1.54,4,C
33,469,34,2020-08-30,CHC,@,CIN,W 10-1,CG,5,4,0,0,0,0,0,0,0,0,1,1,.196,.304,.364,.668,0,0,0,0,0,0,.000,0.46,-0.062,0.47,-0.04%,-0.96,5,C
34,470,35,2020-09-01,CHC,@,PIT,W 8-7 (11),CG(11),5,4,2,2,0,0,0,0,0,0,1,0,.207,.315,.369,.685,2,0,0,0,0,0,.500,1.84,0.041,1.30,0.02%,0.40,6,C
35,471,36,2020-09-02,CHC,@,PIT,W 8-2,CG,5,5,3,3,1,0,0,1,0,0,0,1,.224,.326,.388,.714,4,0,0,0,0,0,.750,0.88,0.086,0.51,0.03%,1.75,2,C
