Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,238,1,2020-07-24,TBR,,TOR,L 4-6,CG,4,3,0,2,1,0,0,1,0,0,1,0,.667,.750,1.000,1.750,3,0,0,0,0,0,.667,1.67,0.196,1.94,0.14%,1.50,7,SS
2,239,2,2020-07-25,TBR,,TOR,W 4-1,CG,3,3,0,0,0,0,0,0,0,0,0,2,.333,.429,.500,.929,0,0,0,0,0,0,.000,0.94,-0.072,1.09,-0.05%,-0.44,8,SS
3,240,3,2020-07-26,TBR,,TOR,W 6-5 (10),CG(10),4,3,1,1,0,0,0,0,0,0,1,0,.333,.455,.444,.899,1,0,0,0,0,0,.333,1.11,0.072,1.32,0.05%,0.36,8,SS
4,241,4,2020-07-27,TBR,,ATL,W 14-5,CG,4,3,1,1,1,0,0,1,1,0,1,2,.333,.467,.500,.967,2,0,0,0,0,0,1.000,0.34,-0.013,0.37,-0.01%,1.23,7,SS
5,242,6,2020-07-29,TBR,@,ATL,L 4-7,CG,4,3,1,1,0,0,0,0,0,0,1,0,.333,.474,.467,.940,1,0,0,0,0,0,.333,1.02,0.074,1.08,0.05%,0.70,8,SS
6,243,7,2020-07-30,TBR,@,ATL,L 1-2,CG,3,3,1,1,1,0,0,0,0,0,0,0,.333,.455,.500,.955,2,0,0,0,0,0,.333,0.69,-0.009,0.78,-0.01%,-0.15,5,SS
7,244,8,2020-07-31,TBR,@,BAL,L 3-6,CG,4,3,2,1,1,0,0,0,0,0,1,2,.333,.462,.524,.985,2,0,0,0,0,0,1.000,1.54,-0.062,1.92,-0.05%,-0.13,3,SS
8,245,9,2020-08-01,TBR,@,BAL,L 4-5 (11),GS-8,3,3,0,0,0,0,0,0,0,0,0,2,.292,.414,.458,.872,0,0,0,0,0,0,.000,1.02,-0.080,1.26,-0.06%,-0.75,5,SS
9,246,10,2020-08-02,TBR,@,BAL,L 1-5,CG,3,3,0,2,0,0,0,0,0,0,0,1,.333,.438,.481,.919,2,0,0,0,0,0,1.000,1.10,0.012,1.35,0.01%,0.27,7,SS
10,247,12,2020-08-05,TBR,,BOS,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.290,.389,.419,.808,0,1,0,0,0,0,.000,1.02,-0.144,1.24,-0.11%,-1.68,7,SS
11,248,13,2020-08-07,TBR,,NYY,W 1-0,CG,3,3,0,0,0,0,0,0,0,0,0,2,.265,.359,.382,.741,0,0,0,0,0,0,.000,1.23,-0.089,1.48,-0.07%,-0.57,7,SS
12,249,14,2020-08-08 (1),TBR,,NYY,L 4-8 (7),CG(7),3,3,0,1,1,0,0,0,0,0,0,2,.270,.357,.405,.763,2,0,0,0,0,0,1.000,1.01,-0.040,1.28,-0.03%,-0.59,7,SS
