Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,680,1,2020-07-24,TOR,@,TBR,W 6-4,CG,4,4,0,1,0,0,0,1,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,0.92,0.056,1.08,0.04%,0.42,5,CF
2,681,2,2020-07-25,TOR,@,TBR,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.250,.250,.250,.500,1,0,0,0,0,0,.250,1.91,-0.104,2.25,-0.07%,-0.56,6,CF
3,682,3,2020-07-26,TOR,@,TBR,L 5-6 (10),GS-6,3,2,1,2,0,0,0,0,0,0,1,0,.400,.455,.400,.855,2,0,0,0,0,0,1.000,1.14,0.096,1.36,0.07%,0.84,5,CF
4,683,8,2020-08-04,TOR,@,ATL,L 1-10,CG,4,3,0,0,0,0,0,0,0,0,1,2,.308,.400,.308,.708,0,0,0,0,0,0,.000,0.90,-0.031,1.00,-0.02%,-1.02,6,CF
5,684,9,2020-08-05,TOR,@,ATL,W 2-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.294,.368,.294,.663,1,0,0,0,0,0,.333,0.97,-0.020,1.04,-0.01%,-0.27,6,DH
6,685,10,2020-08-06,TOR,@,ATL,L 3-4,CG,3,3,0,0,0,0,0,0,0,0,0,2,.250,.318,.250,.568,0,0,0,0,0,0,.000,1.28,-0.109,1.42,-0.07%,-0.78,6,CF
7,686,11,2020-08-07,TOR,@,BOS,L 3-5,CG,4,3,0,1,0,0,0,0,0,1,1,0,.261,.346,.261,.607,1,1,0,0,0,0,.333,1.89,-0.300,2.28,-0.22%,-1.59,6,CF
8,687,12,2020-08-08,TOR,@,BOS,W 2-1,CG,4,4,1,2,0,0,0,0,0,0,0,0,.296,.367,.296,.663,2,0,0,0,0,0,.500,1.66,0.135,1.94,0.10%,0.47,7,CF
9,688,13,2020-08-09,TOR,@,BOS,L 3-5,CG,4,4,0,0,0,0,0,0,0,0,0,3,.258,.324,.258,.582,0,0,0,0,0,0,.000,1.50,-0.166,1.87,-0.12%,-1.16,7,CF
10,689,14,2020-08-11,TOR,,MIA,W 5-4 (10),CG(10),4,3,1,1,0,0,0,0,0,0,1,1,.265,.342,.265,.607,1,0,0,0,0,0,.500,1.13,0.004,1.18,0.00%,-0.01,7,CF
11,690,15,2020-08-12,TOR,,MIA,L 11-14 (10),CG(10),5,4,1,2,0,0,0,0,0,0,1,1,.289,.372,.289,.662,2,0,0,0,0,0,.667,0.97,0.030,1.10,0.02%,0.44,7,CF
12,691,16,2020-08-14,TOR,,TBR,W 12-4,CG,5,5,1,1,0,0,1,1,0,0,0,1,.279,.354,.349,.703,4,0,0,0,0,0,.000,0.96,0.093,1.10,0.06%,-0.18,7,CF
13,692,17,2020-08-15,TOR,,TBR,L 2-3,CG,4,3,1,2,1,0,0,0,0,0,1,0,.304,.385,.391,.776,3,0,0,0,0,0,.667,1.23,0.162,1.52,0.12%,1.09,6,CF
14,693,18,2020-08-16,TOR,,TBR,L 5-7 (8),CG(8),4,4,1,2,0,0,1,2,0,0,0,2,.320,.393,.460,.853,5,0,0,0,0,0,1.000,0.97,0.176,1.12,0.12%,1.36,2,CF
15,694,19,2020-08-17,TOR,@,BAL,W 7-2,CG,5,5,1,2,0,0,1,4,0,0,0,0,.327,.393,.509,.903,5,0,0,0,0,0,.250,0.70,0.196,0.76,0.13%,2.66,2,CF
16,695,20,2020-08-18,TOR,@,BAL,W 8-7 (10),CG(10),5,5,2,2,1,0,1,4,0,0,0,1,.333,.394,.567,.961,6,0,0,0,0,0,.333,1.65,0.258,1.97,0.18%,2.85,2,DH
17,696,21,2020-08-19,TOR,@,BAL,W 5-2,CG,4,4,2,2,0,0,2,3,0,0,0,0,.344,.400,.656,1.056,8,0,0,0,0,0,.000,1.24,0.324,1.64,0.26%,2.17,4,CF
18,697,22,2020-08-20 (1),TOR,,PHI,W 3-2 (7),CG(7),4,4,0,0,0,0,0,0,0,0,0,0,.324,.378,.618,.996,0,0,0,0,0,0,.000,2.61,-0.272,3.05,-0.19%,-1.67,2,DH
19,698,23,2020-08-20 (2),TOR,,PHI,W 9-8 (7),CG(7),4,4,1,0,0,0,0,0,0,0,0,2,.306,.359,.583,.942,0,0,0,0,0,0,.000,1.50,0.044,1.81,0.03%,-0.39,2,CF
20,699,24,2020-08-21,TOR,@,TBR,W 6-5 (10),CG(10),5,5,0,2,1,0,0,1,0,0,0,2,.312,.361,.584,.946,3,0,0,0,0,0,.667,1.04,-0.010,1.39,-0.01%,0.06,2,CF
21,700,25,2020-08-22,TOR,@,TBR,L 1-2 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,1,.293,.341,.549,.890,0,0,0,0,0,0,.000,2.28,-0.221,3.06,-0.18%,-1.79,2,CF
22,701,26,2020-08-23,TOR,@,TBR,L 4-5,CG,5,5,0,1,1,0,0,0,0,0,0,0,.287,.333,.540,.874,2,0,0,0,0,0,.200,1.14,-0.124,1.56,-0.10%,-0.64,2,CF
23,702,27,2020-08-24,TOR,@,TBR,W 6-4,GS-8,4,4,1,2,1,0,1,3,0,0,0,2,.297,.340,.582,.923,6,0,0,0,0,0,1.000,1.63,0.476,2.12,0.37%,2.55,2,CF
24,703,28,2020-08-25,TOR,,BOS,L 7-9,CG,5,5,1,2,0,0,0,0,0,0,0,1,.302,.343,.573,.916,2,0,0,0,0,0,.500,1.19,0.012,1.54,0.01%,0.54,2,DH
25,704,29,2020-08-26,TOR,,BOS,W 9-1,CG,5,5,2,2,0,0,1,2,0,0,0,1,.307,.346,.594,.940,5,0,0,0,0,0,.333,0.38,0.082,0.50,0.07%,0.92,2,CF
26,705,30,2020-08-28,TOR,,BAL,W 5-4 (10),CG(10),5,5,1,2,0,0,1,2,0,0,0,2,.311,.348,.613,.961,5,0,0,0,0,0,.500,1.94,0.844,2.93,0.77%,1.43,2,CF
27,706,31,2020-08-29,TOR,,BAL,W 5-0,CG,5,5,0,1,0,0,0,0,0,0,0,3,.306,.342,.595,.936,1,0,0,0,0,0,.500,0.30,-0.036,0.43,-0.03%,-0.69,2,CF
