Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,379,20,2024-04-18,BOS,,CLE,L 4-5,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,1.42,-0.036,1.37,-0.02%,-0.17,0.00,0.00,4,PH LF
2,380,21,2024-04-19,BOS,@,PIT,W 8-1,CG,5,5,2,2,1,0,1,2,0,0,0,0,.333,.333,1.000,1.333,6,0,0,0,0,0,.250,0.33,0.074,0.29,0.04%,1.71,23.00,31.40,3,RF
3,381,22,2024-04-20,BOS,@,PIT,W 4-2,CG,5,4,1,1,1,0,0,0,0,0,1,1,.300,.364,.800,1.164,2,0,0,0,0,0,.333,0.80,-0.061,0.73,-0.03%,-0.39,9.00,12.20,3,RF
4,382,23,2024-04-21,BOS,@,PIT,W 6-1,CG,5,3,1,1,1,0,0,1,1,0,1,1,.308,.400,.769,1.169,2,0,0,0,0,0,.500,1.22,0.094,1.15,0.05%,0.65,16.00,21.70,3,RF
5,383,24,2024-04-23,BOS,@,CLE,L 1-4,CG,3,3,0,3,1,0,0,0,0,1,0,0,.438,.500,.875,1.375,4,0,0,0,0,0,1.000,1.03,0.103,1.03,0.06%,0.84,11.00,12.00,5,RF
6,384,26,2024-04-25,BOS,@,CLE,L 4-6,CG,5,5,1,2,0,1,0,1,0,0,0,1,.429,.478,.857,1.335,4,0,0,0,0,0,.500,1.08,0.074,1.15,0.05%,1.53,15.00,18.70,3,LF
7,385,27,2024-04-26,BOS,,CHC,L 1-7,CG,4,2,0,0,0,0,0,0,0,0,2,1,.391,.481,.783,1.264,0,0,0,0,0,0,.000,0.81,-0.017,0.76,-0.01%,0.06,4.00,6.00,3,LF
8,386,28,2024-04-27,BOS,,CHC,W 17-0,5-5,1,0,0,0,0,0,0,0,0,0,0,0,.391,.500,.783,1.283,0,0,1,0,0,0,,0.39,0.001,0.37,0.00%,0.17,2.00,3.00,7,PH
9,387,29,2024-04-28,BOS,,CHC,W 5-4,6-GF,2,1,1,0,0,0,0,0,0,0,1,0,.375,.500,.750,1.250,0,0,0,0,0,0,.000,0.32,0.017,0.31,0.01%,0.28,4.00,6.20,6,PH DH
10,388,30,2024-04-30,BOS,,SFG,W 4-0,CG,5,5,0,2,0,0,0,2,0,0,0,2,.379,.486,.690,1.175,2,0,0,0,0,0,.667,0.64,0.126,0.64,0.08%,0.64,10.00,13.00,5,LF
11,389,31,2024-05-01,BOS,,SFG,W 6-2,CG,4,4,1,1,0,0,0,1,0,0,0,1,.364,.462,.636,1.098,1,0,0,0,0,0,.333,1.02,-0.055,1.03,-0.03%,-0.76,7.00,9.70,3,LF
12,390,32,2024-05-02,BOS,,SFG,L 1-3,GS-8,3,2,0,0,0,0,0,0,0,0,1,1,.343,.452,.600,1.052,0,1,0,0,0,0,.000,1.59,-0.082,1.71,-0.05%,-0.65,2.00,3.00,4,LF
13,391,34,2024-05-04,BOS,@,MIN,L 1-3,7-GF,1,0,0,0,0,0,0,0,0,0,1,0,.343,.465,.600,1.065,0,0,0,0,0,0,,2.60,0.046,2.78,0.03%,0.27,2.00,3.00,1,PH RF
14,392,35,2024-05-05,BOS,@,MIN,W 9-2,GS-5,2,2,0,1,1,0,0,1,0,0,0,0,.351,.467,.622,1.088,2,0,0,0,0,0,.500,1.06,0.081,1.06,0.05%,0.63,7.00,9.50,3,LF
15,393,38,2024-05-10,BOS,,WSN,L 1-5,CG,5,3,0,0,0,0,0,0,0,0,2,1,.325,.460,.575,1.035,0,0,0,0,0,0,.000,1.18,0.001,1.02,0.00%,-0.15,4.00,6.00,2,DH
16,394,39,2024-05-11,BOS,,WSN,W 4-2,8-GF,1,1,0,1,0,0,0,0,0,0,0,0,.341,.471,.585,1.056,1,0,0,0,0,0,1.000,1.41,0.047,1.14,0.02%,0.27,3.00,3.00,1,PH LF
17,395,40,2024-05-12,BOS,,WSN,W 3-2,CG,4,4,0,1,0,0,0,0,0,0,0,1,.333,.455,.556,1.010,1,0,0,0,0,0,.333,0.90,-0.036,0.72,-0.02%,-0.52,3.00,3.00,2,DH
18,396,41,2024-05-13,BOS,,TBR,L 3-5,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.326,.446,.543,.990,0,0,0,0,0,0,,1.74,-0.045,1.63,-0.03%,-0.24,0.00,0.00,1,PH LF
19,397,42,2024-05-14,BOS,,TBR,W 5-4 (12),8-GF(12),2,2,0,1,0,0,0,1,0,0,0,0,.333,.448,.542,.990,1,0,0,0,0,0,.500,4.13,0.170,3.83,0.10%,0.26,5.00,6.50,2,PH LF
20,398,44,2024-05-16,BOS,,TBR,L 5-7,CG,5,4,1,1,0,0,0,0,0,0,1,1,.327,.444,.519,.964,1,0,0,0,0,0,.333,1.00,-0.054,0.91,-0.03%,-0.56,7.00,9.20,3,LF
21,399,45,2024-05-17,BOS,@,STL,L 6-10,7-GF,2,2,1,1,0,0,0,0,0,0,0,1,.333,.446,.519,.965,1,0,0,0,0,0,1.000,0.68,-0.042,0.52,-0.02%,-0.16,5.00,6.20,2,PH LF
22,400,46,2024-05-18,BOS,@,STL,L 2-7,8-GF,1,1,0,1,1,0,0,1,0,0,0,0,.345,.455,.545,1.000,2,0,0,0,0,0,1.000,2.05,0.280,1.44,0.12%,1.09,7.00,9.50,2,PH RF
23,401,47,2024-05-19,BOS,@,STL,W 11-3,CG,5,5,0,1,0,0,0,0,0,0,0,3,.333,.437,.517,.953,1,0,0,0,0,0,.500,0.36,-0.015,0.23,-0.01%,-0.53,3.00,3.00,2,RF LF
24,402,50,2024-05-22,BOS,@,TBR,W 8-5,CG,4,4,0,2,0,0,0,1,0,0,0,0,.344,.440,.516,.956,2,1,0,0,0,0,.500,1.20,0.116,1.08,0.06%,0.45,8.00,9.50,5,DH
