Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,515,1,2023-03-30,ATL,@,WSN,W 7-2,CG,6,6,0,2,0,0,0,0,1,0,0,0,.333,.333,.333,.667,2,0,0,0,0,0,.333,0.91,0.078,0.91,0.05%,0.71,1,RF
2,516,2,2023-04-01,ATL,@,WSN,W 7-1,CG,5,5,1,1,0,0,1,1,0,0,0,1,.273,.273,.545,.818,4,1,0,0,0,0,.000,0.45,0.065,0.49,0.04%,-0.35,1,RF
3,517,3,2023-04-02,ATL,@,WSN,L 1-4,CG,4,2,1,0,0,0,0,0,0,0,2,1,.231,.333,.462,.795,0,0,0,0,0,0,.000,0.83,0.018,0.90,0.01%,0.33,1,RF
4,518,4,2023-04-03,ATL,@,STL,W 8-4,CG,5,4,2,3,1,0,1,3,0,1,1,0,.353,.450,.765,1.215,7,0,0,0,0,0,.667,0.64,0.131,0.64,0.08%,2.41,1,RF
5,519,5,2023-04-04,ATL,@,STL,W 4-1,CG,5,5,1,2,0,0,0,0,1,0,0,2,.364,.440,.682,1.122,2,0,0,0,0,0,.667,0.71,-0.009,0.76,-0.01%,-0.82,1,RF
6,520,6,2023-04-05,ATL,@,STL,W 5-2,CG,5,5,2,2,0,0,0,0,0,0,0,1,.370,.433,.630,1.063,2,0,0,0,0,0,.500,0.33,0.024,0.36,0.02%,-0.06,1,RF
7,521,7,2023-04-06,ATL,,SDP,W 7-6,CG,5,4,1,1,1,0,0,0,0,0,1,0,.355,.429,.613,1.041,2,0,0,0,0,0,.250,1.44,-0.024,1.63,-0.02%,0.14,1,RF
8,522,8,2023-04-07,ATL,,SDP,L 4-5,CG,5,4,2,0,0,0,0,0,2,0,1,1,.314,.400,.543,.943,0,0,0,0,0,0,.000,1.62,-0.125,1.90,-0.09%,-0.54,1,RF
9,523,9,2023-04-08,ATL,,SDP,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.282,.364,.487,.851,0,0,0,0,0,0,.000,1.02,-0.109,1.16,-0.07%,-1.05,1,RF
10,524,10,2023-04-09,ATL,,SDP,L 2-10,GS-9,4,3,0,2,0,0,0,1,1,0,1,0,.310,.396,.500,.896,2,0,0,0,0,0,.667,0.50,0.058,0.55,0.04%,0.86,1,RF
