Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,362,1,2025-03-27,DET,@,LAD,L 4-5,CG,5,1,2,1,0,0,1,1,0,0,4,0,1.000,1.000,4.000,5.000,4,0,0,0,0,0,,2.15,0.373,1.91,0.20%,2.98,24.00,33.90,4,DH
2,363,2,2025-03-28,DET,@,LAD,L 5-8 (10),CG(10),5,5,0,2,1,0,0,0,1,0,0,2,.500,.700,1.167,1.867,3,0,0,0,0,0,.667,1.40,-0.120,1.19,-0.06%,-0.92,13.00,15.00,4,DH
3,364,3,2025-03-29,DET,@,LAD,L 3-7,CG,4,3,1,1,0,0,0,0,0,0,1,2,.444,.643,.889,1.532,1,0,0,0,0,0,1.000,0.90,0.011,0.79,0.01%,0.11,7.00,9.20,3,1B
4,365,4,2025-03-31,DET,@,SEA,W 9-6,CG,5,5,1,2,0,0,0,0,0,0,0,1,.429,.579,.714,1.293,2,0,0,0,0,0,.500,0.19,0.013,0.16,0.01%,-0.01,8.00,9.20,4,1B
5,366,5,2025-04-01,DET,@,SEA,W 4-1,CG,4,4,0,1,1,0,0,1,0,0,0,2,.389,.522,.667,1.188,2,0,0,0,0,0,.500,0.66,0.036,0.59,0.02%,0.36,7.00,9.50,3,1B
6,367,6,2025-04-02,DET,@,SEA,L 2-3,CG,4,4,0,0,0,0,0,0,0,0,0,2,.318,.444,.545,.990,0,0,0,0,0,0,.000,1.58,-0.157,1.47,-0.09%,-1.10,0.00,0.00,3,1B
7,368,7,2025-04-04,DET,,CHW,W 7-4,CG,5,3,1,1,0,0,0,1,0,0,1,2,.320,.469,.520,.989,1,0,1,0,0,0,1.000,0.46,0.106,0.45,0.06%,1.24,11.00,15.70,4,1B
8,369,8,2025-04-05,DET,,CHW,W 7-2,CG,4,4,1,2,1,0,1,1,0,0,0,1,.345,.472,.655,1.127,6,0,0,0,0,0,.500,0.44,0.133,0.45,0.08%,1.37,19.00,24.70,4,1B
9,370,9,2025-04-06,DET,,CHW,W 4-3,CG,5,5,0,1,1,0,0,2,0,0,0,1,.324,.439,.618,1.057,2,0,0,0,0,0,.250,3.03,0.314,3.05,0.19%,0.83,9.00,13.00,3,1B
10,371,10,2025-04-07,DET,,NYY,W 6-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.289,.400,.553,.953,0,0,0,0,0,0,.000,0.24,-0.025,0.25,-0.02%,-0.92,0.00,0.00,3,1B
11,372,11,2025-04-08,DET,,NYY,W 5-0,CG,4,4,2,2,1,0,1,1,0,0,0,1,.310,.408,.643,1.051,6,0,0,0,0,0,.500,0.46,0.164,0.52,0.11%,1.29,21.00,27.90,4,1B
12,373,12,2025-04-09,DET,,NYY,L 3-4,CG,4,3,1,1,0,0,0,0,0,0,1,0,.311,.415,.622,1.037,1,0,0,0,0,0,.333,0.76,0.016,0.84,0.01%,1.24,7.00,9.20,4,1B
13,374,13,2025-04-11,DET,@,MIN,W 7-6,CG,5,3,1,0,0,0,0,0,0,0,1,1,.292,.414,.583,.997,0,0,1,0,0,0,.000,1.04,-0.029,1.20,-0.02%,-0.08,6.00,9.20,4,1B
14,375,14,2025-04-12,DET,@,MIN,W 4-0,CG,4,3,2,2,0,0,1,3,0,0,0,1,.314,.419,.647,1.066,5,0,0,0,1,0,.500,0.92,0.121,1.06,0.09%,1.57,23.00,31.90,3,1B
15,376,15,2025-04-13,DET,@,MIN,L 1-5,CG,4,4,1,1,0,0,1,1,0,0,0,2,.309,.409,.673,1.082,4,0,0,0,0,0,.000,0.97,0.032,1.14,0.02%,0.33,14.00,18.70,4,1B
16,377,16,2025-04-14,DET,@,MIL,W 9-1,CG,5,4,0,0,0,0,0,1,0,0,0,1,.288,.380,.627,1.007,0,0,0,0,1,0,.000,0.30,-0.038,0.32,-0.03%,-0.85,2.00,3.50,4,1B
17,378,17,2025-04-15,DET,@,MIL,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,2,.270,.360,.587,.947,0,0,0,0,0,0,.000,0.63,-0.067,0.71,-0.05%,-0.83,0.00,0.00,4,1B
18,379,18,2025-04-16,DET,@,MIL,L 1-5,CG,4,3,1,1,0,0,1,1,0,0,1,2,.273,.367,.621,.988,4,0,0,0,0,0,,0.71,0.024,0.78,0.02%,0.54,16.00,21.70,4,1B
19,380,19,2025-04-17,DET,,KCR,W 6-1,CG,5,4,1,2,1,0,0,3,0,0,1,0,.286,.381,.629,1.010,3,0,0,0,0,0,.500,0.77,0.207,0.92,0.15%,2.46,18.00,25.70,4,DH
20,381,20,2025-04-18,DET,,KCR,W 7-3,CG,4,3,1,1,1,0,0,2,0,0,1,1,.288,.386,.630,1.017,2,1,0,0,0,0,.500,0.86,0.057,1.05,0.04%,1.56,13.00,19.20,5,1B
21,382,21,2025-04-19,DET,,KCR,W 3-1,CG,4,3,1,1,0,0,1,3,0,0,1,1,.289,.391,.658,1.049,4,0,0,0,0,0,.000,0.95,0.293,1.18,0.22%,2.74,20.00,28.70,2,1B
22,383,22,2025-04-20,DET,,KCR,L 3-4 (10),CG(10),5,4,0,1,0,0,0,0,0,0,1,0,.288,.392,.638,1.029,1,0,0,0,0,0,.250,2.28,-0.147,2.87,-0.11%,-0.16,5.00,6.00,4,1B
23,384,23,2025-04-21,DET,,SDP,W 6-4,CG,5,4,0,1,0,0,0,0,0,0,1,1,.286,.392,.619,1.011,1,0,0,0,0,1,.333,0.78,-0.088,0.88,-0.06%,-0.56,5.00,6.00,4,1B
24,385,24,2025-04-22,DET,,SDP,L 0-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.273,.377,.591,.968,0,0,0,0,0,0,.000,0.92,-0.095,1.10,-0.07%,-0.73,0.00,0.00,4,1B
25,386,25,2025-04-23,DET,,SDP,W 6-0,CG,4,3,0,0,0,0,0,0,0,0,1,2,.264,.373,.571,.944,0,0,0,0,0,0,.000,0.85,-0.031,0.95,-0.02%,-0.59,2.00,3.00,5,1B
26,387,26,2025-04-26 (1),DET,,BAL,W 4-3,CG,4,4,1,1,0,0,1,1,0,0,0,1,.263,.368,.589,.958,4,0,0,0,0,0,.000,1.07,0.002,1.33,0.00%,-0.17,14.00,18.70,5,1B
27,388,27,2025-04-26 (2),DET,,BAL,W 6-2,CG,4,4,1,1,1,0,0,2,0,0,0,0,.263,.364,.586,.950,2,1,0,0,0,0,.250,1.10,0.047,1.34,0.04%,0.33,11.00,16.20,4,1B
28,389,28,2025-04-27,DET,,BAL,W 7-0,CG,4,3,1,0,0,0,0,0,0,0,1,0,.255,.361,.569,.929,0,0,0,0,0,0,.000,0.51,0.001,0.62,0.00%,-0.77,4.00,6.20,5,1B
29,390,29,2025-04-28,DET,@,HOU,L 5-8,CG,4,4,0,0,0,0,0,0,0,0,0,3,.245,.349,.547,.896,0,0,0,0,0,0,.000,0.43,-0.043,0.54,-0.03%,-0.51,0.00,0.00,5,1B
30,391,30,2025-04-29,DET,@,HOU,L 4-6,CG,4,1,0,0,0,0,0,0,0,0,2,1,.243,.362,.542,.904,0,0,1,0,0,0,,0.95,0.034,1.21,0.03%,0.23,6.00,9.00,5,1B
31,392,31,2025-04-30,DET,@,HOU,W 7-4,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.241,.359,.537,.896,0,0,0,0,0,0,.000,0.43,-0.022,0.55,-0.02%,-0.79,0.00,0.00,7,PH 1B
32,393,32,2025-05-01,DET,@,LAA,W 10-4,CG,5,5,1,1,0,0,1,2,0,0,0,0,.239,.353,.549,.902,4,0,0,0,0,0,.000,1.35,-0.199,1.70,-0.15%,0.32,16.00,22.20,5,1B
33,394,33,2025-05-02,DET,@,LAA,W 9-1,CG,5,4,1,0,0,0,0,0,0,0,1,2,.231,.348,.530,.877,0,1,0,0,0,0,.000,0.94,-0.140,1.17,-0.10%,-0.94,4.00,6.20,3,1B
34,395,34,2025-05-03,DET,@,LAA,L 2-5,CG,3,3,1,1,0,0,1,1,0,0,0,0,.233,.347,.550,.897,4,1,0,0,0,0,.000,0.63,-0.056,0.76,-0.04%,0.38,14.00,18.70,6,1B
35,396,35,2025-05-04,DET,@,LAA,W 13-1,CG,5,4,2,1,0,0,0,0,0,0,1,1,.234,.349,.540,.889,1,1,0,0,0,0,.333,0.28,0.034,0.35,0.03%,-0.39,9.00,12.40,5,DH
36,397,36,2025-05-07,DET,@,COL,W 8-6 (10),CG(10),5,5,1,1,1,0,0,1,0,0,0,1,.233,.344,.535,.879,2,0,0,0,0,0,.250,2.18,0.053,2.72,0.04%,-0.46,9.00,12.70,5,1B
37,398,37,2025-05-08 (1),DET,@,COL,W 10-2,GS-7,4,4,1,2,1,0,0,3,0,0,0,1,.241,.348,.541,.889,3,0,0,0,0,0,.667,0.47,0.137,0.57,0.10%,2.12,16.00,22.70,5,1B
38,399,38,2025-05-08 (2),DET,@,COL,W 11-1,CG,5,5,1,3,1,0,0,1,0,0,0,0,.254,.356,.551,.907,4,0,0,0,0,0,.600,0.50,0.027,0.61,0.02%,0.75,15.00,18.70,5,1B
39,400,39,2025-05-09,DET,,TEX,W 2-1,CG,3,2,0,0,0,0,0,0,0,0,1,0,.250,.355,.543,.898,0,0,0,0,0,0,.000,0.73,-0.011,0.89,-0.01%,-0.13,2.00,3.00,5,DH
40,401,40,2025-05-10,DET,,TEX,L 3-10,GS-9,3,3,0,0,0,0,0,0,0,0,0,3,.245,.349,.531,.881,0,0,0,0,0,0,,0.71,-0.054,0.85,-0.04%,-0.68,0.00,0.00,5,DH
41,402,41,2025-05-11,DET,,TEX,L 1-6,CG,4,3,0,1,0,0,0,1,0,0,0,0,.247,.347,.527,.874,1,0,0,0,1,0,.250,0.64,-0.049,0.81,-0.04%,-0.59,5.00,6.50,5,1B
