Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,47,2021-05-22,TBR,@,TOR,W 3-1,CG,4,4,1,2,2,0,0,0,0,0,0,1,.500,.500,1.000,1.500,4,0,0,0,0,0,.667,1.11,0.068,1.60,0.06%,0.80,8,SS
2,2,48,2021-05-23,TBR,@,TOR,W 6-4,CG,4,4,1,1,0,0,0,0,0,0,0,0,.375,.375,.625,1.000,1,0,0,0,0,0,.250,1.83,-0.102,2.68,-0.09%,-0.56,8,SS
3,3,49,2021-05-24,TBR,@,TOR,W 14-8 (11),CG(11),6,4,2,0,0,0,0,1,0,0,2,3,.250,.357,.417,.774,0,0,0,0,0,0,.000,1.66,0.057,2.35,0.05%,0.37,6,SS
4,4,50,2021-05-25,TBR,,KCR,L 1-2,GS-9,3,2,0,1,0,0,0,0,0,0,1,1,.286,.412,.429,.840,1,0,0,0,0,0,1.000,0.98,0.014,1.29,0.01%,0.29,6,SS
5,5,51,2021-05-26,TBR,,KCR,W 2-1 (10),8-GF(10),1,1,0,0,0,0,0,0,0,0,0,0,.267,.389,.400,.789,0,0,0,0,0,0,.000,2.60,0.017,3.45,0.01%,-0.18,2,PR SS
6,6,52,2021-05-27,TBR,,KCR,W 7-2,CG,4,3,0,1,0,0,0,1,0,0,1,0,.278,.409,.389,.798,1,0,0,0,0,0,.333,0.14,0.018,0.18,0.01%,0.91,6,SS
7,7,53,2021-05-29,TBR,,PHI,W 5-3,8-GF,0,0,1,0,0,0,0,0,0,0,0,0,.278,.409,.389,.798,0,,0,0,,,,,0.000,,0.00%,0.00,3,PR SS
8,8,54,2021-05-30,TBR,,PHI,W 6-2,CG,4,4,0,0,0,0,0,0,0,0,0,2,.227,.346,.318,.664,0,0,0,0,0,0,.000,0.65,-0.066,0.82,-0.05%,-1.07,6,SS
9,9,55,2021-05-31,TBR,@,NYY,W 3-1,CG,4,3,0,0,0,0,0,0,0,0,1,2,.200,.333,.280,.613,0,0,0,0,0,0,.000,0.68,-0.026,1.03,-0.02%,0.03,6,SS
10,10,56,2021-06-01,TBR,@,NYY,L 3-5 (11),10-GF(11),0,0,0,0,0,0,0,0,0,0,0,0,.200,.333,.280,.613,0,,0,0,,,,,,,,,2,SS
11,11,57,2021-06-02,TBR,@,NYY,L 3-4,CG,4,2,1,1,0,0,0,0,1,0,2,0,.222,.382,.296,.679,1,0,0,0,0,0,.500,1.96,0.205,3.09,0.19%,0.94,8,SS
12,12,58,2021-06-03,TBR,@,NYY,W 9-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.194,.342,.258,.600,0,0,0,0,0,0,.000,0.70,-0.069,1.14,-0.07%,-1.10,8,SS
13,13,59,2021-06-04,TBR,@,TEX,L 4-5,CG,4,3,0,1,0,0,0,0,0,0,1,0,.206,.357,.265,.622,1,0,0,0,0,0,.333,0.95,0.049,1.27,0.04%,0.08,7,SS
14,14,60,2021-06-05,TBR,@,TEX,W 3-0,CG,3,3,0,1,0,0,0,0,0,0,0,1,.216,.356,.270,.626,1,0,0,0,0,0,.500,0.50,0.006,0.67,0.01%,0.11,7,SS
15,15,61,2021-06-06,TBR,@,TEX,W 7-1,CG,5,5,0,3,2,0,0,2,0,0,0,0,.262,.380,.357,.737,5,1,0,0,0,0,.600,1.64,0.272,2.14,0.21%,1.87,6,SS
16,16,62,2021-06-08,TBR,,WSN,W 3-1,CG,4,3,0,0,0,0,0,0,0,0,1,1,.244,.370,.333,.704,0,0,0,0,0,0,.000,0.99,-0.019,1.24,-0.02%,-0.02,8,SS
17,17,63,2021-06-09,TBR,,WSN,L 7-9 (11),CG(11),5,4,1,1,0,0,1,1,1,0,1,1,.245,.373,.388,.761,4,0,0,0,0,0,.000,1.51,0.093,1.93,0.07%,0.99,8,SS
18,18,64,2021-06-11,TBR,,BAL,W 4-2,CG,4,3,0,0,0,0,0,0,0,0,1,2,.231,.365,.365,.730,0,0,0,0,0,0,.000,0.77,-0.035,1.00,-0.03%,-0.60,7,SS
19,19,65,2021-06-12,TBR,,BAL,W 5-4,CG,4,4,0,0,0,0,0,0,0,0,0,1,.214,.343,.339,.683,0,0,0,0,0,0,.000,1.07,-0.082,1.38,-0.06%,-1.12,3,SS
20,20,66,2021-06-13,TBR,,BAL,W 7-1,CG,4,4,1,3,0,0,0,2,1,1,0,0,.250,.366,.367,.733,3,0,0,0,0,0,.750,1.00,0.162,1.20,0.12%,1.48,8,SS
21,21,67,2021-06-14,TBR,@,CHW,W 5-2,CG,4,3,1,1,1,0,0,0,0,1,1,1,.254,.373,.381,.754,2,1,0,0,0,0,.500,0.99,-0.099,1.23,-0.07%,-0.60,6,SS
22,22,68,2021-06-15,TBR,@,CHW,L 0-3,CG,3,2,0,0,0,0,0,0,0,0,1,0,.246,.372,.369,.741,0,0,0,0,0,0,.000,1.02,-0.013,1.20,-0.01%,-0.11,8,SS
