Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,295,1,2023-03-30,LAA,@,OAK,L 1-2,CG,4,4,0,1,0,0,0,0,1,0,0,1,.250,.250,.250,.500,1,1,0,0,0,0,.333,0.97,-0.058,0.98,-0.04%,-0.55,1,LF
2,296,2,2023-04-01,LAA,@,OAK,W 13-1,CG,5,5,2,3,0,0,1,4,0,0,0,2,.444,.444,.778,1.222,6,0,0,0,0,0,1.000,0.45,0.052,0.42,0.03%,3.34,1,LF
3,297,3,2023-04-02,LAA,@,OAK,W 6-0,CG,5,5,1,3,0,0,0,0,0,0,0,0,.500,.500,.714,1.214,3,0,0,0,0,0,.600,0.37,0.011,0.36,0.01%,0.26,1,LF
4,298,4,2023-04-03,LAA,@,SEA,W 7-3,CG,5,5,1,1,0,0,1,2,0,0,0,1,.421,.421,.737,1.158,4,0,0,0,0,0,.000,1.20,0.065,1.28,0.04%,0.71,1,LF
5,299,5,2023-04-04,LAA,@,SEA,L 2-11,CG,5,4,1,2,1,0,0,0,0,0,1,2,.435,.458,.739,1.197,3,0,0,0,0,0,1.000,0.28,0.073,0.29,0.05%,0.79,1,LF
6,300,6,2023-04-05,LAA,@,SEA,W 4-3,GS-9,5,4,1,0,0,0,0,0,0,0,1,2,.370,.414,.630,1.043,0,0,0,0,0,0,.000,0.76,-0.044,0.81,-0.03%,-0.44,1,LF
7,301,7,2023-04-07,LAA,,TOR,L 3-4,CG,4,3,1,0,0,0,0,0,0,0,1,0,.333,.394,.567,.961,0,1,0,0,0,0,.000,1.11,-0.086,1.15,-0.05%,-1.05,1,LF
8,302,8,2023-04-08,LAA,,TOR,W 9-5,CG,4,4,1,1,0,0,0,0,0,0,0,1,.324,.378,.529,.908,1,0,0,0,0,0,.333,0.96,0.037,0.99,0.02%,0.01,1,LF
9,303,9,2023-04-09,LAA,,TOR,L 11-12 (10),CG(10),6,4,1,0,0,0,0,0,0,0,2,1,.289,.372,.474,.846,0,0,0,0,0,0,.000,1.16,0.082,1.23,0.05%,-0.24,1,LF
10,304,10,2023-04-10,LAA,,WSN,L 4-6,CG,5,4,0,1,0,0,0,0,0,0,1,0,.286,.375,.452,.827,1,0,0,0,0,0,.250,1.26,-0.045,1.22,-0.03%,0.06,1,LF
11,305,11,2023-04-11,LAA,,WSN,W 2-0,CG,4,3,1,2,0,0,0,0,0,0,0,0,.311,.404,.467,.871,2,0,1,0,0,0,.667,0.64,0.053,0.60,0.03%,1.09,1,LF
12,306,12,2023-04-12,LAA,,WSN,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,1,1,.292,.393,.438,.830,0,0,0,0,0,0,.000,1.59,-0.122,1.59,-0.07%,-1.09,1,LF
13,307,13,2023-04-14,LAA,@,BOS,L 3-5,CG,5,5,1,1,0,0,0,0,0,0,0,1,.283,.377,.415,.792,1,0,0,0,0,0,.250,1.32,-0.106,1.39,-0.07%,-1.03,1,LF
14,308,14,2023-04-15,LAA,@,BOS,L 7-9,CG,5,5,1,0,0,0,0,0,0,0,0,1,.259,.348,.379,.728,0,0,0,0,0,0,.000,1.05,-0.109,1.03,-0.07%,-1.14,1,LF
15,309,15,2023-04-16,LAA,@,BOS,L 1-2,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.254,.343,.373,.716,0,0,0,0,0,0,.000,3.42,-0.081,3.27,-0.05%,-0.38,7,PH LF
16,310,16,2023-04-17,LAA,@,BOS,W 5-4,CG,5,4,1,0,0,0,0,0,0,0,0,2,.238,.333,.349,.683,0,0,1,0,0,0,.000,0.59,-0.026,0.56,-0.02%,-0.94,3,LF
17,311,17,2023-04-18,LAA,@,NYY,W 5-2,CG,5,5,1,2,1,0,0,0,0,0,0,2,.250,.338,.368,.705,3,0,0,0,0,0,.667,0.58,0.031,0.57,0.02%,-0.14,1,LF
18,312,18,2023-04-19,LAA,@,NYY,L 2-3 (10),CG(10),5,4,0,0,0,0,0,1,0,0,0,1,.236,.329,.347,.676,0,0,1,0,0,0,.000,1.90,-0.140,2.01,-0.09%,-1.11,1,LF
19,313,19,2023-04-20,LAA,@,NYY,L 3-9,CG,5,4,0,0,0,0,0,1,0,0,0,2,.224,.310,.329,.639,0,0,0,0,1,0,.000,1.09,-0.115,1.08,-0.07%,-1.11,1,LF
20,314,20,2023-04-21,LAA,,KCR,W 2-0,CG,4,3,0,1,0,0,0,0,0,0,1,0,.228,.319,.329,.648,1,0,0,0,0,0,.333,0.52,-0.007,0.49,0.00%,0.24,1,LF
21,315,21,2023-04-22,LAA,,KCR,L 8-11,9-GF,1,1,0,0,0,0,0,0,0,0,0,1,.225,.315,.325,.640,0,0,0,0,0,0,,0.96,-0.025,0.92,-0.02%,-0.25,1,PH
22,316,22,2023-04-23,LAA,,KCR,W 4-3,CG,4,3,2,1,0,0,1,1,0,0,1,0,.229,.323,.361,.684,4,0,0,0,0,0,.000,0.99,0.220,0.91,0.12%,1.42,1,LF
23,317,23,2023-04-24,LAA,,OAK,L 10-11 (10),CG(10),6,5,0,0,0,0,0,0,0,0,1,2,.216,.314,.341,.655,0,0,0,0,0,0,.000,1.96,-0.309,1.93,-0.18%,-1.74,1,LF
