Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,254,1,2023-03-30,SFG,@,NYY,L 0-5,CG,4,4,0,2,0,0,0,0,1,0,0,1,.500,.500,.500,1.000,2,0,0,0,0,0,.667,0.75,0.045,0.68,0.02%,0.30,6,2B
2,255,2,2023-04-01,SFG,@,NYY,W 7-5,CG,5,5,0,1,0,0,0,1,0,0,0,0,.333,.333,.333,.667,1,0,0,0,0,0,.200,1.22,0.035,1.03,0.02%,0.15,3,2B
3,256,3,2023-04-02,SFG,@,NYY,L 0-6,CG,3,3,0,1,0,0,0,0,0,0,0,2,.333,.333,.333,.667,1,0,0,0,0,0,1.000,0.85,0.052,0.77,0.03%,0.79,9,2B
4,257,4,2023-04-03,SFG,@,CHW,W 12-3,GS-9,5,4,2,2,0,0,1,1,1,0,1,1,.375,.412,.563,.974,5,0,0,0,0,0,.500,0.33,0.061,0.30,0.03%,1.40,3,2B
5,258,6,2023-04-06,SFG,@,CHW,W 16-6,CG,6,6,1,3,1,0,0,1,0,0,0,1,.409,.435,.591,1.026,4,0,0,0,0,0,.600,0.19,0.006,0.17,0.00%,1.04,8,SS
6,259,7,2023-04-07,SFG,,KCR,L 1-3,CG,4,3,0,1,0,0,0,0,0,0,1,0,.400,.444,.560,1.004,1,0,0,0,0,0,.333,1.79,-0.026,1.69,-0.02%,0.05,6,2B
7,260,8,2023-04-08,SFG,,KCR,L 5-6,CG,4,4,2,2,1,0,0,1,0,0,0,2,.414,.452,.586,1.038,3,0,0,0,0,0,1.000,0.95,-0.021,0.82,-0.01%,0.35,6,2B
8,261,9,2023-04-09,SFG,,KCR,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.364,.400,.515,.915,0,0,0,0,0,0,.000,1.56,-0.154,1.31,-0.08%,-0.88,1,2B
9,262,10,2023-04-10,SFG,,LAD,L 1-9,CG,4,4,0,0,0,0,0,0,0,0,0,2,.324,.359,.459,.818,0,0,0,0,0,0,.000,0.50,-0.049,0.49,-0.03%,-1.25,1,2B
10,263,11,2023-04-11,SFG,,LAD,W 5-0,8-GF,0,0,0,0,0,0,0,0,0,0,0,0,.324,.359,.459,.818,0,,0,0,,,,,,,,,3,2B
11,264,12,2023-04-12,SFG,,LAD,L 5-10,CG,5,4,2,2,0,0,1,1,0,0,1,0,.341,.386,.537,.923,5,0,0,0,0,0,.333,0.78,0.048,0.75,0.03%,1.05,1,SS
