Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,225,35,2024-05-07,CIN,,ARI,L 2-6,CG,4,4,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.84,-0.083,0.67,-0.04%,-0.91,0.00,0.00,1,CF
2,226,36,2024-05-08,CIN,,ARI,L 3-4,CG,4,4,0,2,0,0,0,1,1,0,0,0,.250,.250,.250,.500,2,0,0,0,0,0,.500,3.24,0.229,2.45,0.10%,1.00,13.00,15.50,8,CF
3,227,37,2024-05-09,CIN,,ARI,L 4-5,CG,5,5,1,1,0,0,0,0,0,0,0,0,.231,.231,.231,.462,1,0,0,0,0,0,.200,1.42,-0.136,1.00,-0.06%,-0.86,5.00,6.20,1,CF
4,228,38,2024-05-10,CIN,@,SFG,W 4-2,CG,5,5,0,1,1,0,0,1,0,0,0,1,.222,.222,.278,.500,2,0,0,0,0,0,.250,1.00,0.049,0.64,0.02%,0.11,7.00,9.50,1,CF
5,229,39,2024-05-11,CIN,@,SFG,L 1-5,CG,5,4,0,0,0,0,0,0,0,0,0,2,.182,.217,.227,.445,0,0,1,0,0,0,.000,0.74,-0.068,0.50,-0.03%,-0.88,2.00,3.00,1,CF
6,230,40,2024-05-12,CIN,@,SFG,L 5-6 (10),GS-1,1,0,1,0,0,0,0,0,1,0,0,0,.182,.250,.227,.477,0,0,1,0,0,0,,1.02,0.081,0.66,0.03%,0.80,9.00,12.20,1,CF
7,231,56,2024-05-29,CIN,,STL,L 3-5,CG,5,3,0,0,0,0,0,0,0,0,2,1,.160,.276,.200,.476,0,0,0,0,0,0,.000,1.23,-0.001,0.69,0.00%,-0.20,4.00,6.00,1,CF
8,232,57,2024-05-31,CIN,@,CHC,W 5-4,CG,5,5,0,1,0,0,0,1,0,0,0,3,.167,.265,.200,.465,1,0,0,0,0,0,.500,1.10,-0.080,0.56,-0.03%,-0.50,5.00,6.50,1,CF
9,233,58,2024-06-01,CIN,@,CHC,L 5-7,CG,4,1,1,0,0,0,0,0,1,0,2,0,.161,.316,.194,.509,0,0,1,0,0,0,.000,1.71,0.092,0.94,0.03%,1.05,13.00,18.20,7,CF
10,234,59,2024-06-02,CIN,@,CHC,W 5-2,CG,5,5,1,1,0,0,1,3,0,0,0,1,.167,.302,.278,.580,4,0,0,0,0,0,.000,0.67,0.191,0.34,0.06%,1.55,18.00,25.70,1,CF
11,235,60,2024-06-03,CIN,@,COL,W 13-3,GS-7,4,4,1,2,0,0,0,1,0,0,0,0,.200,.319,.300,.619,2,0,0,0,0,0,.500,0.78,0.018,0.40,0.01%,0.78,10.00,12.70,1,CF
12,236,61,2024-06-04,CIN,@,COL,W 4-1,CG,4,4,0,1,0,0,0,0,0,0,0,0,.205,.314,.295,.609,1,0,0,0,0,0,.250,0.70,-0.039,0.39,-0.01%,-1.04,3.00,3.00,7,CF
13,237,62,2024-06-05,CIN,@,COL,W 12-7,CG,5,2,3,1,0,0,1,2,1,0,1,1,.217,.357,.370,.727,4,0,2,0,0,0,,1.51,0.320,0.96,0.12%,2.51,31.00,43.60,1,CF
14,238,63,2024-06-06,CIN,,CHC,W 8-4,CG,5,4,1,1,1,0,0,1,0,0,1,1,.220,.361,.380,.741,2,0,0,0,0,0,.333,1.24,0.188,0.95,0.09%,0.97,11.00,15.70,1,CF
15,239,64,2024-06-07,CIN,,CHC,W 3-2,CG,3,3,0,1,0,0,0,0,0,0,0,1,.226,.359,.377,.737,1,0,0,0,0,0,.500,0.67,-0.011,0.56,-0.01%,0.13,3.00,3.00,7,CF
16,240,65,2024-06-08,CIN,,CHC,W 4-3,CG,4,3,1,1,0,0,1,3,1,0,1,0,.232,.368,.429,.796,4,0,0,0,0,0,.000,0.92,0.215,0.80,0.11%,2.17,25.00,34.70,1,CF
17,241,66,2024-06-09,CIN,,CHC,L 2-4,CG,3,3,0,0,0,0,0,0,0,0,0,2,.220,.352,.407,.759,0,0,0,0,0,0,.000,1.26,-0.133,1.10,-0.07%,-1.09,0.00,0.00,7,CF
18,242,67,2024-06-11,CIN,,CLE,L 3-5,CG,5,5,1,1,0,0,0,0,0,0,0,1,.219,.342,.391,.733,1,0,0,0,0,0,.250,1.41,-0.104,1.14,-0.05%,-0.30,5.00,6.20,1,CF
19,243,68,2024-06-12,CIN,,CLE,W 4-2,CG,4,4,1,1,0,0,0,0,0,0,0,1,.221,.338,.382,.720,1,0,0,0,0,0,.333,1.08,0.045,0.79,0.02%,0.08,5.00,6.20,1,CF
20,244,69,2024-06-14,CIN,@,MIL,W 6-5,CG,5,5,2,3,0,0,1,2,0,0,0,0,.247,.353,.438,.791,6,0,0,0,0,0,.500,0.66,0.172,0.60,0.09%,1.75,24.00,31.40,1,CF
21,245,70,2024-06-15,CIN,@,MIL,L 1-3,CG,4,3,0,0,0,0,0,0,1,0,1,0,.237,.348,.421,.769,0,0,0,0,0,0,.000,0.94,-0.002,0.89,0.00%,-0.05,7.00,9.00,1,CF
22,246,71,2024-06-16,CIN,@,MIL,L 4-5,CG,5,5,0,0,0,0,0,0,0,0,0,0,.222,.330,.395,.725,0,0,0,0,0,0,.000,1.80,-0.243,1.66,-0.13%,-1.33,0.00,0.00,1,CF
23,247,72,2024-06-17,CIN,@,PIT,L 1-4,GS-5,3,3,0,0,0,0,0,0,0,0,0,1,.214,.320,.381,.701,0,0,0,0,0,0,.000,0.69,-0.053,0.52,-0.02%,-0.59,0.00,0.00,1,CF
24,248,75,2024-06-21,CIN,,BOS,W 5-2,GS-7,4,3,0,1,0,0,0,1,0,0,0,1,.218,.327,.379,.706,1,0,1,0,0,0,.500,1.12,0.061,0.69,0.02%,0.95,7.00,9.50,1,CF
25,249,76,2024-06-22,CIN,,BOS,L 3-4,CG,5,5,0,2,0,0,0,0,0,0,0,0,.228,.330,.380,.711,2,0,0,0,0,0,.400,0.89,0.015,0.63,0.01%,-0.27,6.00,6.00,1,CF
26,250,77,2024-06-23,CIN,,BOS,L 4-7,CG,5,5,0,0,0,0,0,0,0,0,0,1,.216,.315,.361,.676,0,0,0,0,0,0,.000,1.06,-0.141,0.68,-0.05%,-1.37,0.00,0.00,1,DH
27,251,103,2024-07-26,CIN,@,TBR,W 3-2 (10),CG(10),4,3,1,0,0,0,0,0,0,0,1,2,.210,.313,.350,.663,0,0,0,0,0,0,.000,1.07,0.004,0.48,0.00%,0.33,4.00,6.20,4,CF
28,252,104,2024-07-27,CIN,@,TBR,L 0-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.212,.311,.346,.657,1,0,0,0,0,0,.250,0.71,-0.013,0.36,0.00%,-0.47,3.00,3.00,4,CF
29,253,105,2024-07-28,CIN,@,TBR,L 1-2,7-GF,2,2,0,0,0,0,0,0,0,0,0,0,.208,.306,.340,.645,0,0,0,0,0,0,.000,1.51,-0.075,0.67,-0.02%,-0.38,0.00,0.00,6,PH CF
30,254,106,2024-07-29,CIN,,CHC,W 7-1,CG,4,4,1,1,0,0,1,3,0,0,0,0,.209,.304,.364,.668,4,0,0,0,0,0,.000,0.67,0.034,0.26,0.01%,1.68,18.00,25.70,2,CF
31,255,107,2024-07-30,CIN,,CHC,W 6-3,CG,4,3,0,2,0,0,0,2,0,0,1,1,.221,.318,.372,.690,2,0,0,0,0,0,1.000,0.90,0.165,0.39,0.04%,1.93,12.00,16.00,6,CF
32,256,108,2024-07-31,CIN,,CHC,L 4-13,GS-8,3,2,0,0,0,0,0,0,0,0,1,0,.217,.318,.365,.683,0,0,0,0,0,0,.000,0.49,-0.021,0.22,-0.01%,-0.24,2.00,3.00,4,CF
33,257,109,2024-08-02,CIN,,SFG,L 0-3,CG,3,2,0,0,0,0,0,0,0,0,1,1,.214,.319,.359,.677,0,0,0,0,0,0,.000,0.70,-0.025,0.28,-0.01%,-0.29,2.00,3.00,7,CF
34,258,110,2024-08-03,CIN,,SFG,W 6-4,CG,3,3,0,0,0,0,0,0,0,0,0,2,.208,.312,.350,.662,0,0,0,0,0,0,.000,0.20,-0.016,0.06,0.00%,-0.62,0.00,0.00,7,CF
35,259,111,2024-08-04,CIN,,SFG,L 2-8,6-GF,2,2,0,1,0,0,0,0,0,0,0,0,.213,.314,.352,.667,1,0,0,0,0,0,.500,0.82,-0.065,0.29,-0.01%,-0.02,3.00,3.00,5,PH CF
36,260,112,2024-08-05,CIN,@,MIA,W 10-3,CG,5,3,0,1,0,0,0,1,0,0,1,0,.216,.317,.352,.669,1,0,0,0,1,0,.250,0.42,-0.001,0.12,0.00%,0.07,7.00,9.50,4,CF
37,261,113,2024-08-06,CIN,@,MIA,W 8-2,CG,5,4,0,1,1,0,0,2,0,0,0,0,.217,.313,.357,.670,2,0,0,0,1,0,.200,0.67,0.080,0.24,0.02%,0.10,9.00,13.00,4,CF
38,262,114,2024-08-07,CIN,@,MIA,L 4-6,CG,5,4,1,1,0,0,1,4,0,0,1,0,.218,.316,.376,.692,4,0,0,0,0,0,.000,1.25,-0.050,0.56,-0.01%,2.03,22.00,32.20,4,CF
39,263,115,2024-08-08,CIN,@,MIA,W 10-4 (10),GS-10,5,4,2,2,0,0,1,3,0,0,0,0,.226,.325,.401,.726,5,0,1,0,0,0,.333,2.02,0.110,0.59,0.02%,2.06,25.00,34.90,4,CF
40,264,116,2024-08-09,CIN,@,MIL,L 3-8,CG,4,4,0,0,0,0,0,0,0,0,0,1,.220,.317,.390,.707,0,0,0,0,0,0,.000,0.18,-0.019,0.07,-0.01%,-0.77,0.00,0.00,3,CF
41,265,117,2024-08-10,CIN,@,MIL,L 0-1,CG,4,4,0,1,0,0,0,0,0,0,0,1,.221,.315,.386,.702,1,0,0,0,0,0,.333,1.01,-0.075,0.31,-0.01%,-0.39,3.00,3.00,4,CF
