Rk,Gcar,Gtm,Date,Team,,Opp,Result,Series,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,1,2019-10-01,MIL,@,WSN,L 3-4,NLWC G1,CG,4,3,1,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,.000,0.77,-0.023,16.04,-0.30%,-0.43,1,RF
2,2,1,2020-09-30,SDP,,STL,L 4-7,NLWC G1,CG,4,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,.000,1.49,-0.051,15.43,-0.34%,-0.36,9,CF
3,3,2,2020-10-01,SDP,,STL,W 11-9,NLWC G2,CG,5,4,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,.000,1.71,-0.165,18.97,-1.15%,-1.54,1,CF
4,4,3,2020-10-02,SDP,,STL,W 4-0,NLWC G3,CG,5,5,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,.000,1.24,-0.047,25.75,-0.54%,-0.26,1,CF
5,5,4,2020-10-06,SDP,@,LAD,L 1-5,NLDS G1,CG,4,4,0,1,1,0,0,0,0,0,0,1,2,0,0,0,0,0,.333,1.33,-0.092,20.76,-0.86%,-0.66,1,CF
6,6,5,2020-10-07,SDP,@,LAD,L 5-6,NLDS G2,CG,4,3,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,.500,1.05,0.047,16.76,0.40%,0.71,9,CF
7,7,6,2020-10-08,SDP,,LAD,L 3-12,NLDS G3,CG,5,4,0,1,0,0,0,1,0,0,1,3,1,0,0,0,0,0,1.000,0.84,0.076,8.71,0.45%,0.47,1,CF
8,8,1,2022-10-07,SDP,@,NYM,W 7-1,NLWC G1,CG,4,4,1,1,0,0,1,1,0,0,0,0,4,0,0,0,0,0,.000,0.28,0.071,2.86,0.47%,0.08,8,CF
9,9,2,2022-10-08,SDP,@,NYM,L 3-7,NLWC G2,CG,4,2,3,1,0,0,1,1,0,0,1,0,4,0,1,0,0,0,.000,0.96,0.133,10.63,0.82%,1.40,8,CF
10,10,3,2022-10-09,SDP,@,NYM,W 6-0,NLWC G3,CG,4,2,1,2,0,0,0,1,0,0,1,0,2,0,1,0,0,0,1.000,0.74,0.124,15.36,1.64%,1.96,8,CF
11,11,4,2022-10-11,SDP,@,LAD,L 3-5,NLDS G1,CG,3,3,0,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,.500,0.94,-0.017,14.67,-0.14%,-0.08,8,CF
12,12,5,2022-10-12,SDP,@,LAD,W 5-3,NLDS G2,CG,4,3,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,1,.000,1.29,-0.178,20.54,-1.77%,-1.60,8,CF
13,13,6,2022-10-14,SDP,,LAD,W 2-1,NLDS G3,CG,4,4,1,2,0,0,1,1,0,0,0,1,5,0,0,0,0,0,.500,0.63,0.097,13.23,1.15%,0.88,8,CF
14,14,7,2022-10-15,SDP,,LAD,W 5-3,NLDS G4,CG,4,3,1,1,0,0,0,0,0,0,1,2,1,0,0,0,0,0,1.000,0.96,0.113,21.16,1.57%,0.80,8,CF
15,15,8,2022-10-18,SDP,,PHI,L 0-2,NLCS G1,CG,3,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.95,-0.074,24.80,-1.19%,-0.53,8,CF
16,16,9,2022-10-19,SDP,,PHI,W 8-5,NLCS G2,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,1.01,-0.095,26.01,-1.49%,-1.65,8,CF
17,17,10,2022-10-21,SDP,@,PHI,L 2-4,NLCS G3,CG,4,4,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,.000,1.64,-0.053,51.47,-0.93%,-0.26,8,CF
18,18,11,2022-10-22,SDP,@,PHI,L 6-10,NLCS G4,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,0.55,-0.060,17.58,-1.14%,-0.78,8,CF
19,19,12,2022-10-23,SDP,@,PHI,L 3-4,NLCS G5,CG,4,4,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,.000,2.26,-0.149,53.11,-1.99%,-0.85,8,CF
,,,,,,,8-11,,,77,65,10,11,1,0,3,7,0,0,9,28,21,0,3,0,0,1,.235,1.09,-0.343,20.73,-5.34%,-2.69,,
