Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,189,16,2024-04-16,MIN,@,BAL,L 3-11,CG,4,4,0,1,0,0,0,0,0,0,0,1,.250,.250,.250,.500,1,0,0,0,0,0,.333,0.29,-0.029,0.25,-0.02%,-0.19,3.00,3.00,5,LF
2,190,17,2024-04-17,MIN,@,BAL,L 2-4,GS-7,2,2,0,0,0,0,0,0,0,0,0,0,.167,.167,.167,.333,0,0,0,0,0,0,.000,1.33,-0.069,0.98,-0.03%,-0.56,0.00,0.00,6,LF
3,191,18,2024-04-19,MIN,,DET,L 4-5,CG,4,4,1,2,0,0,1,2,0,0,0,1,.300,.300,.600,.900,5,0,0,0,0,0,.500,1.42,0.076,1.03,0.03%,1.13,19.00,25.20,4,RF LF
4,192,19,2024-04-20,MIN,,DET,W 4-3,GS-7,3,2,0,1,0,0,0,1,0,0,0,1,.333,.308,.583,.891,1,0,0,0,1,0,.500,0.72,0.013,0.49,0.01%,0.20,5.00,6.50,4,RF
5,193,20,2024-04-21,MIN,,DET,L 1-6,GS-8,3,2,0,0,0,0,0,0,0,0,1,1,.286,.313,.500,.813,0,0,0,0,0,0,.000,0.99,-0.029,0.72,-0.01%,-0.40,2.00,3.00,2,RF
6,194,21,2024-04-22,MIN,,CHW,W 7-0,CG,4,2,2,1,1,0,0,1,0,0,2,1,.313,.400,.563,.963,2,0,0,0,0,0,1.000,0.35,0.092,0.22,0.03%,1.34,15.00,21.90,3,LF
7,195,22,2024-04-23,MIN,,CHW,W 6-5,CG,4,4,2,2,1,0,1,2,0,0,0,0,.350,.417,.750,1.167,6,0,0,0,0,0,.333,0.53,0.137,0.34,0.05%,1.88,23.00,31.40,3,LF
8,196,24,2024-04-25,MIN,,CHW,W 6-3,CG,4,4,1,2,0,0,0,0,0,0,0,1,.375,.429,.708,1.137,2,0,0,0,0,0,.667,0.83,0.039,0.61,0.02%,0.20,8.00,9.20,4,DH
9,197,26,2024-04-27,MIN,@,LAA,W 16-5,CG,6,5,1,2,0,0,0,1,0,0,1,1,.379,.441,.655,1.096,2,0,0,0,0,0,.500,0.60,-0.008,0.51,0.00%,-0.50,12.00,15.70,4,DH
10,198,29,2024-04-30,MIN,@,CHW,W 6-5,CG,4,4,1,2,0,0,0,1,0,0,0,1,.394,.447,.636,1.084,2,0,0,0,0,0,.667,1.75,0.204,1.70,0.12%,0.51,10.00,12.70,6,DH
