Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,471,33,2025-05-02,CIN,,WSN,W 6-1,CG,4,3,2,2,2,0,0,2,0,0,1,0,.667,.750,1.333,2.083,4,0,0,0,0,0,.667,0.48,0.115,0.50,0.07%,2.45,20.00,28.40,7,DH
2,472,34,2025-05-03,CIN,,WSN,L 6-11,CG,4,4,0,0,0,0,0,0,0,0,0,2,.286,.375,.571,.946,0,0,0,0,0,0,.000,0.67,-0.072,0.70,-0.05%,-1.07,0.00,0.00,6,C
3,473,35,2025-05-04,CIN,,WSN,L 1-4,CG,4,3,1,1,0,0,1,1,0,0,1,1,.300,.417,.800,1.217,4,0,0,0,0,0,.000,1.10,0.095,1.11,0.06%,0.97,16.00,21.70,6,DH
4,474,36,2025-05-05,CIN,@,ATL,L 0-4,CG,3,2,0,0,0,0,0,0,0,0,1,0,.250,.400,.667,1.067,0,0,0,0,0,0,.000,0.61,-0.018,0.61,-0.01%,-0.20,2.00,3.00,6,C
5,475,37,2025-05-06,CIN,@,ATL,L 1-2 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,5,.176,.300,.471,.771,0,0,0,0,0,0,,2.08,-0.338,1.92,-0.19%,-2.28,0.00,0.00,4,DH
6,476,38,2025-05-07,CIN,@,ATL,W 4-3,CG,4,3,0,1,0,0,0,1,0,0,1,1,.200,.333,.450,.783,1,0,0,0,0,1,.500,0.59,0.039,0.51,0.02%,0.70,7.00,9.50,7,C
7,477,39,2025-05-08,CIN,@,ATL,L 4-5 (11),GS-7,3,2,0,0,0,0,0,0,0,0,1,2,.182,.333,.409,.742,0,0,0,0,0,0,,1.54,-0.062,1.41,-0.03%,-0.64,2.00,3.00,7,DH
8,478,40,2025-05-09,CIN,@,HOU,L 0-3,CG,4,4,0,1,1,0,0,0,0,0,0,2,.192,.323,.423,.746,2,0,0,0,0,0,.500,0.85,-0.053,0.71,-0.03%,-0.27,5.00,6.00,7,C
9,479,41,2025-05-10,CIN,@,HOU,W 13-9,CG,5,4,1,2,0,0,0,1,0,0,1,2,.233,.361,.433,.794,2,0,0,0,0,0,1.000,0.32,0.064,0.25,0.03%,0.92,12.00,15.70,7,C
10,480,43,2025-05-13,CIN,,CHW,L 1-5 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.206,.325,.382,.707,0,0,0,0,0,0,.000,1.25,-0.129,0.98,-0.06%,-0.72,0.00,0.00,5,C
11,481,45,2025-05-15,CIN,,CHW,W 7-1,CG,4,4,0,0,0,0,0,0,0,0,0,1,.184,.295,.342,.638,0,0,0,0,0,0,.000,0.25,-0.029,0.17,-0.01%,-1.16,0.00,0.00,7,C
