Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,16,35,2020-09-01,MIL,,DET,L 1-12,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.03,-0.001,0.04,0.00%,-0.26,5,PH CF
2,17,37,2020-09-04,MIL,@,CLE,W 7-1,7-GF,1,1,0,0,0,0,0,0,0,0,0,1,.000,.000,.000,.000,0,0,0,0,0,0,,0.04,-0.001,0.05,0.00%,-0.24,4,PR CF
3,18,38,2020-09-05,MIL,@,CLE,L 3-4,9-GF,1,1,0,1,1,0,0,0,0,0,0,0,.333,.333,.667,1.000,2,0,0,0,0,0,1.000,2.36,0.170,3.08,0.13%,0.63,1,PH CF
4,19,39,2020-09-06,MIL,@,CLE,L 1-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.143,.143,.286,.429,0,0,0,0,0,0,.000,1.88,-0.217,2.57,-0.18%,-1.73,8,CF
5,20,40,2020-09-08,MIL,@,DET,L 3-8,8-GF,1,1,0,0,0,0,0,0,0,0,0,0,.125,.125,.250,.375,0,0,0,0,0,0,.000,0.03,-0.001,0.04,0.00%,-0.19,3,LF
6,21,41,2020-09-09,MIL,@,DET,W 19-0,CG,6,5,3,4,2,0,1,3,0,0,0,0,.385,.429,.846,1.275,9,0,1,0,0,0,.750,0.17,0.051,0.21,0.04%,3.90,8,RF
7,22,42,2020-09-11,MIL,,CHC,W 1-0,CG,3,2,0,0,0,0,0,0,0,0,1,0,.333,.412,.733,1.145,0,0,0,0,0,0,.000,0.81,0.011,1.16,0.01%,0.16,8,RF
8,23,43,2020-09-12,MIL,,CHC,L 2-4,8-9,0,0,0,0,0,0,0,0,0,0,0,0,.333,.412,.733,1.145,0,,0,0,,,,,,,,,6,RF
9,24,44,2020-09-13,MIL,,CHC,L 0-12,8-GF,1,1,0,0,0,0,0,0,0,0,0,1,.313,.389,.688,1.076,0,0,0,0,0,0,,0.00,0.000,0.00,0.00%,-0.18,1,CF
10,25,45,2020-09-14 (1),MIL,,STL,W 2-1 (8),CG(8),3,3,1,0,0,0,0,0,0,0,0,0,.263,.333,.579,.912,0,0,0,0,0,0,.000,1.18,-0.092,2.03,-0.10%,-0.48,9,LF
11,26,46,2020-09-14 (2),MIL,,STL,L 2-3 (9),7-GF,1,0,0,0,0,0,0,0,0,0,1,0,.263,.364,.579,.943,0,0,0,0,0,0,,4.44,0.047,8.38,0.05%,0.35,4,RF
12,27,47,2020-09-15,MIL,,STL,W 18-3,5-GF,3,3,1,2,1,0,0,1,0,0,0,1,.318,.400,.636,1.036,3,0,0,0,0,0,1.000,0.01,0.002,0.02,0.00%,1.66,1,PH CF
13,28,49,2020-09-16 (2),MIL,,STL,W 6-0 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,.318,.400,.636,1.036,0,,0,0,,,,,,,,,3,RF
14,29,50,2020-09-18,MIL,,KCR,W 9-5,CG,5,5,0,0,0,0,0,0,0,0,0,1,.259,.333,.519,.852,0,0,0,0,0,0,.000,0.97,-0.131,1.44,-0.12%,-2.53,6,CF
15,30,51,2020-09-19,MIL,,KCR,W 5-0,CG,3,3,0,0,0,0,0,0,0,0,0,1,.233,.303,.467,.770,0,0,0,0,0,0,.000,0.56,-0.047,0.87,-0.04%,-0.49,6,RF
16,31,53,2020-09-21,MIL,@,CIN,L 3-6,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.226,.294,.452,.746,0,0,0,0,0,0,.000,3.76,-0.117,9.22,-0.17%,-0.67,9,PH
17,32,54,2020-09-22,MIL,@,CIN,W 3-2,CG,3,3,1,1,0,0,1,1,0,0,0,0,.235,.297,.529,.827,4,0,0,0,0,0,.000,1.08,0.037,2.62,0.05%,0.38,8,CF RF
18,33,56,2020-09-24,MIL,@,STL,L 2-4,GS-9,3,3,0,1,0,0,0,1,0,0,0,1,.243,.300,.514,.814,1,1,0,0,0,0,.500,1.28,0.056,3.62,0.10%,0.36,6,RF
19,34,57,2020-09-25 (1),MIL,@,STL,W 3-0 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,.243,.300,.514,.814,0,,0,0,,,,,,,,,3,RF
20,35,58,2020-09-25 (2),MIL,@,STL,L 1-9 (7),7-GF(7),0,0,0,0,0,0,0,0,0,0,0,0,.243,.300,.514,.814,0,,0,0,,,,,,,,,1,CF
21,36,59,2020-09-26,MIL,@,STL,W 3-0,7-GF,0,0,0,0,0,0,0,0,0,0,0,0,.243,.300,.514,.814,0,,0,0,,,,,,,,,3,RF
22,37,60,2020-09-27,MIL,@,STL,L 2-5,7-7,1,1,0,0,0,0,0,0,0,0,0,0,.237,.293,.500,.793,0,0,0,0,0,0,.000,1.01,-0.028,5.82,-0.10%,-0.51,8,PH
,,,,,,,11-11,,41,38,6,9,4,0,2,6,0,0,2,8,.237,.293,.500,.793,19,1,1,0,0,0,.250,0.97,-0.261,2.42,-0.32%,0.16,,
