Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,124,1,2020-07-24,TOR,@,TBR,W 6-4,CG,5,5,1,1,0,0,0,0,0,0,0,1,.200,.200,.200,.400,1,0,0,0,0,0,.250,0.58,0.036,0.69,0.03%,-0.12,3,1B
2,125,2,2020-07-25,TOR,@,TBR,L 1-4,CG,4,4,0,1,0,0,0,0,0,0,0,0,.222,.222,.222,.444,1,0,0,0,0,0,.250,1.48,-0.060,1.74,-0.04%,-0.44,4,DH
3,126,3,2020-07-26,TOR,@,TBR,L 5-6 (10),CG(10),5,5,0,2,0,0,0,0,0,0,0,1,.286,.286,.286,.571,2,1,0,0,0,0,.500,0.66,-0.030,0.79,-0.02%,-1.28,3,1B
4,127,4,2020-07-27,TOR,@,WSN,W 4-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.222,.222,.222,.444,0,0,0,0,0,0,.000,0.50,-0.055,0.53,-0.04%,-0.78,4,1B
5,128,5,2020-07-28,TOR,@,WSN,W 5-1,CG,4,3,1,1,0,0,1,1,0,0,1,1,.238,.273,.381,.654,4,0,0,0,0,0,.000,0.83,0.075,0.89,0.05%,0.82,4,DH
6,129,6,2020-07-29,TOR,@,WSN,L 0-4 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,2,.200,.231,.320,.551,0,0,0,0,0,0,.000,1.24,-0.130,1.38,-0.09%,-0.87,4,1B
7,130,7,2020-07-30,TOR,@,WSN,L 4-6,CG,4,4,0,0,0,0,0,0,0,0,0,0,.172,.200,.276,.476,0,1,0,0,0,0,.000,1.12,-0.142,1.26,-0.10%,-1.38,4,DH
8,131,8,2020-08-04,TOR,@,ATL,L 1-10,CG,4,3,1,2,2,0,0,0,0,0,1,0,.219,.265,.375,.640,4,0,0,0,0,0,.667,0.70,0.079,0.77,0.05%,1.34,5,1B
9,132,9,2020-08-05,TOR,@,ATL,W 2-1,CG,4,4,1,1,1,0,0,0,0,0,0,1,.222,.263,.389,.652,2,0,0,0,0,0,.333,0.95,-0.037,1.02,-0.02%,-0.54,5,1B
10,133,10,2020-08-06,TOR,@,ATL,L 3-4,CG,4,4,0,0,0,0,0,1,0,0,0,1,.200,.238,.350,.588,0,0,0,0,0,0,.000,1.51,-0.163,1.68,-0.11%,-1.01,5,DH
11,134,11,2020-08-07,TOR,@,BOS,L 3-5,GS-8,4,2,0,1,1,0,0,1,0,0,2,0,.214,.283,.381,.664,2,0,0,0,0,0,.500,1.80,0.064,2.17,0.05%,0.47,5,1B
