Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,622,1,2022-04-07,CHC,,MIL,W 5-4,CG,4,3,1,0,0,0,0,0,0,0,0,1,.000,.250,.000,.250,0,0,1,0,0,0,.000,1.39,-0.059,1.39,-0.04%,-0.63,3,C
2,623,2,2022-04-09,CHC,,MIL,W 9-0,CG,5,3,2,1,0,0,0,0,0,0,1,1,.167,.444,.167,.611,1,0,1,0,0,0,.500,0.54,0.061,0.54,0.04%,0.81,3,C
3,624,4,2022-04-12,CHC,@,PIT,W 2-1,CG,4,3,0,1,0,0,0,0,0,0,1,1,.222,.462,.222,.684,1,0,0,0,0,0,.500,0.81,-0.002,0.83,0.00%,0.25,2,C
4,625,5,2022-04-13,CHC,@,PIT,L 2-6,CG,4,4,2,2,1,0,1,1,0,0,0,1,.308,.471,.615,1.086,6,1,0,0,0,0,.500,1.00,-0.004,1.05,0.00%,-0.44,3,C
5,626,7,2022-04-15,CHC,@,COL,L 5-6,CG,5,5,1,3,2,0,0,1,0,0,0,1,.389,.500,.722,1.222,5,0,0,0,0,0,.750,1.73,-0.046,1.76,-0.03%,0.44,3,C
6,627,8,2022-04-16,CHC,@,COL,L 6-9,CG,5,5,0,0,0,0,0,0,0,0,0,1,.304,.407,.565,.973,0,2,0,0,0,0,.000,0.96,-0.215,0.97,-0.13%,-2.73,3,C
7,628,9,2022-04-17,CHC,@,COL,W 6-4,CG,5,5,1,1,0,0,1,1,0,0,0,1,.286,.375,.607,.982,4,0,0,0,0,0,.000,0.61,0.058,0.57,0.03%,0.50,3,DH
8,629,10,2022-04-18,CHC,,TBR,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,1,.250,.333,.531,.865,0,1,0,0,0,0,.000,0.99,-0.159,0.94,-0.09%,-1.48,2,C
9,630,11,2022-04-19,CHC,,TBR,L 5-6,CG,4,3,0,0,0,0,0,0,0,0,1,0,.229,.325,.486,.811,0,0,0,0,0,0,.000,1.45,-0.064,1.41,-0.04%,-0.65,3,C
10,631,13,2022-04-21,CHC,,PIT,L 3-4,CG,4,3,1,1,0,0,0,0,0,0,1,1,.237,.341,.474,.815,1,0,0,0,0,0,.500,1.23,-0.028,1.20,-0.02%,-0.05,3,C
11,632,14,2022-04-22,CHC,,PIT,L 2-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.220,.333,.439,.772,0,1,0,0,0,0,.000,1.52,-0.141,1.44,-0.08%,-1.01,3,DH
12,633,15,2022-04-23,CHC,,PIT,W 21-0,CG,6,5,3,3,1,0,0,3,0,0,1,1,.261,.370,.478,.849,4,0,0,0,0,0,.750,0.37,0.133,0.33,0.07%,2.99,3,C
13,634,16,2022-04-24,CHC,,PIT,L 3-4,CG,5,5,1,1,0,0,0,0,0,0,0,2,.255,.356,.451,.807,1,0,0,0,0,0,.333,2.24,-0.239,2.10,-0.13%,0.10,3,C
14,635,17,2022-04-26,CHC,@,ATL,L 1-3,CG,4,4,0,1,1,0,0,0,0,0,0,0,.255,.349,.455,.804,2,0,0,0,0,0,.250,0.89,-0.003,0.74,0.00%,0.13,4,C
15,636,18,2022-04-27,CHC,@,ATL,W 6-3 (10),CG(10),5,4,1,1,1,0,0,1,0,0,1,0,.254,.353,.458,.811,2,0,0,0,0,0,.250,1.46,0.243,1.16,0.12%,0.62,4,C
16,637,19,2022-04-28,CHC,@,ATL,L 1-5,CG,4,3,0,0,0,0,0,0,0,0,1,1,.242,.347,.435,.783,0,0,0,0,0,0,.000,1.09,-0.070,0.91,-0.04%,-0.59,4,C
17,638,20,2022-04-29,CHC,@,MIL,L 1-11,CG,4,3,0,0,0,0,0,0,0,0,1,1,.231,.342,.415,.757,0,0,0,0,0,0,.000,0.31,-0.011,0.27,-0.01%,-0.49,3,C
18,639,21,2022-04-30,CHC,@,MIL,L 1-9,GS-8,3,3,0,2,0,0,0,0,0,0,0,1,.250,.354,.426,.781,2,0,0,0,0,0,1.000,0.48,0.017,0.39,0.01%,0.35,2,DH
19,640,24,2022-05-04,CHC,,CHW,L 3-4,CG,4,4,0,0,0,0,0,0,0,0,0,2,.236,.337,.403,.740,0,0,0,0,0,0,.000,1.76,-0.184,1.12,-0.07%,-0.95,4,C
20,641,25,2022-05-07 (1),CHC,,LAD,L 0-7,CG,4,3,0,0,0,0,0,0,0,0,0,1,.227,.333,.387,.720,0,0,1,0,0,0,.000,0.47,-0.058,0.28,-0.02%,0.04,1,C
21,642,26,2022-05-07 (2),CHC,,LAD,L 2-6,CG,4,4,2,3,0,1,1,1,0,0,0,0,.253,.352,.468,.820,8,0,0,0,0,0,.667,1.05,0.236,0.56,0.08%,2.07,1,DH
22,643,27,2022-05-08,CHC,,LAD,L 1-7,CG,4,3,0,1,0,0,0,1,0,0,1,0,.256,.358,.463,.821,1,0,0,0,0,0,.333,0.74,0.049,0.36,0.01%,0.78,4,C
23,644,28,2022-05-09,CHC,@,SDP,W 6-0,CG,5,4,1,3,0,0,0,0,0,0,0,0,.279,.380,.477,.857,3,0,1,0,0,0,.750,0.56,0.161,0.25,0.04%,2.31,1,DH
24,645,29,2022-05-10,CHC,@,SDP,L 4-5,CG,5,3,0,2,0,0,0,0,0,0,1,0,.292,.400,.483,.883,2,0,1,0,0,0,.667,1.27,0.218,0.66,0.07%,1.71,2,C
25,646,30,2022-05-11,CHC,@,SDP,W 7-5,CG,4,3,3,2,0,0,1,1,0,0,1,0,.304,.413,.522,.935,5,0,0,0,0,0,.500,1.23,0.222,0.58,0.06%,1.48,2,C
26,647,31,2022-05-13,CHC,@,ARI,L 3-4,CG,4,3,0,0,0,0,0,0,0,1,1,1,.295,.407,.505,.912,0,0,0,0,0,0,.000,0.85,-0.012,0.45,0.00%,-0.23,2,C
27,648,32,2022-05-14,CHC,@,ARI,W 4-2,CG,4,3,1,0,0,0,0,0,0,0,1,3,.286,.402,.490,.892,0,0,0,0,0,0,,1.45,-0.002,0.69,0.00%,-0.31,1,DH
28,649,33,2022-05-15,CHC,@,ARI,W 3-2,CG,4,3,0,0,0,0,0,0,0,0,0,0,.277,.397,.475,.872,0,0,1,0,0,0,.000,1.20,-0.073,0.66,-0.02%,-0.57,2,C
29,650,34,2022-05-16,CHC,,PIT,W 9-0,CG,5,5,2,2,1,0,1,4,0,0,0,1,.283,.397,.509,.906,6,0,0,0,0,0,.333,0.41,0.156,0.24,0.06%,3.23,1,DH
30,651,35,2022-05-17,CHC,,PIT,W 7-0,CG,4,3,1,0,0,0,0,0,0,0,1,1,.275,.392,.495,.888,0,0,0,0,0,0,.000,0.32,0.017,0.20,0.01%,0.40,2,C
31,652,36,2022-05-18,CHC,,PIT,L 2-3,CG,4,3,0,0,0,0,0,0,0,0,0,1,.268,.388,.482,.870,0,0,1,0,0,0,.000,0.98,-0.077,0.65,-0.03%,-0.43,2,C
32,653,37,2022-05-19,CHC,,ARI,L 1-3,CG,4,2,1,0,0,0,0,0,0,0,1,1,.263,.391,.474,.865,0,0,1,0,0,0,.000,1.13,0.056,0.69,0.02%,0.45,2,DH
33,654,38,2022-05-20,CHC,,ARI,L 6-10,GS-8,4,4,0,0,0,0,0,0,0,0,0,2,.254,.380,.458,.838,0,0,0,0,0,0,.000,0.90,-0.090,0.48,-0.03%,-1.00,2,C
34,655,39,2022-05-21,CHC,,ARI,L 6-7 (10),GS-3,2,2,0,1,0,0,0,0,1,0,0,0,.258,.382,.458,.840,1,0,0,0,0,0,.500,0.71,0.007,0.35,0.00%,0.18,1,DH
35,656,43,2022-05-25,CHC,@,CIN,L 3-4,9-GF,1,1,0,0,0,0,0,0,0,0,0,0,.256,.379,.455,.834,0,0,0,0,0,0,.000,3.95,-0.086,2.15,-0.03%,-0.42,8,PH
36,657,44,2022-05-26,CHC,@,CIN,L 5-20,GS-8,4,2,1,1,0,0,1,1,0,0,1,1,.260,.389,.480,.869,4,0,1,0,0,0,,0.62,-0.008,0.30,0.00%,1.14,2,C
37,658,45,2022-05-28,CHC,@,CHW,W 5-1,CG,5,5,1,1,1,0,0,0,0,0,0,0,.258,.383,.477,.860,2,0,0,0,0,0,.200,0.91,-0.037,0.43,-0.01%,-0.71,2,C
38,659,46,2022-05-29,CHC,@,CHW,L 4-5 (12),CG(12),5,5,0,1,0,0,0,0,0,0,0,2,.256,.377,.466,.844,1,0,0,0,0,0,.333,0.71,-0.064,0.37,-0.02%,-0.63,2,DH
39,660,47,2022-05-30 (1),CHC,,MIL,L 6-7,GS-8,5,5,1,1,0,0,0,0,0,0,0,2,.254,.372,.457,.828,1,1,0,0,0,0,.333,1.70,-0.086,0.84,-0.03%,-1.18,2,DH
40,661,48,2022-05-30 (2),CHC,,MIL,L 1-3,CG,4,2,1,2,0,0,1,1,0,0,2,0,.264,.387,.486,.873,5,0,0,0,0,0,1.000,1.27,0.273,0.55,0.07%,1.91,2,C
41,662,49,2022-05-31,CHC,,MIL,W 8-7,CG,5,4,2,2,1,0,1,2,0,0,0,1,.271,.393,.514,.907,6,0,1,0,0,0,.500,1.53,0.163,0.56,0.04%,1.46,2,C
42,663,50,2022-06-01,CHC,,MIL,W 4-3 (10),CG(10),4,4,1,2,0,0,0,1,1,0,0,0,.277,.395,.514,.909,2,0,0,0,0,0,.500,1.39,0.103,0.59,0.03%,0.88,2,C
43,664,51,2022-06-02,CHC,,STL,W 7-5,GS-8,5,3,1,1,0,0,1,2,0,0,1,1,.278,.401,.530,.931,4,0,1,0,0,0,.000,0.91,0.075,0.42,0.02%,1.12,2,DH
44,665,53,2022-06-04 (1),CHC,,STL,W 6-1,CG,5,4,1,0,0,0,0,0,0,0,1,0,.271,.396,.516,.912,0,1,0,0,0,0,.000,1.02,-0.122,0.46,-0.03%,-2.35,2,C
45,666,54,2022-06-04 (2),CHC,,STL,L 4-7 (10),CG(10),5,5,0,2,1,0,0,1,0,0,0,3,.275,.396,.519,.915,3,0,0,0,0,0,1.000,1.62,-0.007,0.79,0.00%,0.70,2,DH
46,667,55,2022-06-05,CHC,,STL,L 3-5 (11),CG(11),5,3,1,1,0,0,0,0,0,0,2,1,.276,.401,.515,.916,1,0,0,0,0,0,.500,1.09,0.031,0.49,0.01%,0.59,2,C
47,668,56,2022-06-07,CHC,@,BAL,L 3-9,GS-7,4,3,1,1,0,0,1,1,0,0,1,0,.277,.403,.530,.933,4,0,0,0,0,0,.000,0.52,0.022,0.17,0.00%,0.81,2,C
48,669,57,2022-06-10,CHC,@,NYY,L 1-2 (13),CG(13),6,6,0,1,0,0,0,0,0,0,0,2,.273,.396,.517,.914,1,0,0,0,0,0,.250,2.44,-0.352,0.80,-0.07%,-1.85,2,C
49,670,58,2022-06-11,CHC,@,NYY,L 0-8,CG,4,2,0,0,0,0,0,0,0,0,1,1,.270,.398,.511,.910,0,0,1,0,0,0,.000,0.64,-0.043,0.17,-0.01%,-0.17,2,DH
50,671,59,2022-06-12,CHC,@,NYY,L 4-18,GS-4,2,2,0,0,0,0,0,0,0,0,0,0,.267,.394,.506,.900,0,1,0,0,0,0,.000,0.61,-0.039,0.15,-0.01%,-1.05,2,C
51,672,60,2022-06-13,CHC,,SDP,L 1-4,CG,4,3,0,1,0,0,0,0,0,0,0,0,.268,.396,.503,.899,1,0,1,0,0,0,.333,0.85,0.005,0.18,0.00%,0.13,2,DH
52,673,61,2022-06-14,CHC,,SDP,L 5-12,CG,4,4,3,3,1,0,2,3,0,0,0,0,.279,.403,.546,.949,10,0,0,0,0,0,.500,0.46,0.287,0.08,0.03%,3.34,2,C
53,674,62,2022-06-15,CHC,,SDP,L 5-19,GS-9,5,5,0,1,1,0,0,0,0,0,0,0,.277,.398,.543,.941,2,0,0,0,0,0,.200,0.57,-0.025,0.07,0.00%,-0.82,2,DH
54,675,63,2022-06-16,CHC,,SDP,L 4-6,CG,4,4,1,1,0,0,0,0,0,0,0,1,.276,.396,.536,.932,1,0,0,0,0,0,.333,0.94,-0.054,0.10,0.00%,-0.46,2,C
55,676,64,2022-06-17,CHC,,ATL,W 1-0,CG,4,4,0,1,0,0,0,0,0,0,0,3,.276,.393,.531,.924,1,0,0,0,0,0,1.000,0.67,-0.032,0.07,0.00%,-0.38,2,DH
56,677,65,2022-06-18,CHC,,ATL,W 6-3,CG,5,5,1,3,1,0,0,1,1,0,0,1,.284,.397,.537,.935,4,0,0,0,0,0,.750,0.73,0.190,0.08,0.01%,2.48,2,C
57,678,66,2022-06-19,CHC,,ATL,L 0-6,CG,4,4,0,1,0,0,0,0,0,0,0,0,.283,.395,.532,.927,1,0,0,0,0,0,.250,0.40,-0.056,0.05,0.00%,-0.91,2,DH
58,679,67,2022-06-20,CHC,@,PIT,L 1-12,GS-7,4,3,0,0,0,0,0,0,0,0,0,1,.279,.393,.524,.917,0,0,1,0,0,0,.000,0.42,-0.037,0.04,0.00%,-0.77,2,C
59,680,68,2022-06-21,CHC,@,PIT,L 1-7,GS-8,4,3,0,0,0,0,0,0,0,0,1,0,.275,.390,.517,.907,0,0,0,0,0,0,.000,0.59,-0.044,0.04,0.00%,-0.58,2,C
60,681,69,2022-06-22,CHC,@,PIT,W 14-5,GS-8,5,5,0,0,0,0,0,0,0,0,0,2,.269,.383,.505,.887,0,0,0,0,0,0,.000,0.50,-0.069,0.03,0.00%,-1.88,2,DH
61,682,70,2022-06-23,CHC,@,PIT,L 7-8 (10),CG(10),5,4,0,0,0,0,0,1,0,0,1,2,.264,.379,.495,.875,0,0,0,0,0,0,.000,1.95,-0.101,0.15,-0.01%,-0.40,2,C
62,683,71,2022-06-24,CHC,@,STL,W 3-0,CG,4,3,0,1,0,0,0,0,0,0,1,0,.265,.381,.493,.874,1,0,0,0,0,0,.333,0.67,0.031,0.05,0.00%,0.46,2,DH
63,684,72,2022-06-25,CHC,@,STL,L 3-5,CG,4,3,0,1,1,0,0,0,0,0,1,1,.265,.383,.496,.878,2,0,0,0,0,0,.500,1.19,0.070,0.11,0.00%,0.32,3,C
64,685,73,2022-06-26,CHC,@,STL,W 6-5 (10),CG(10),5,5,0,2,0,0,0,3,0,0,0,2,.268,.383,.494,.877,2,0,0,0,0,0,.667,1.93,0.228,0.13,0.01%,1.15,3,DH
65,686,74,2022-06-28,CHC,,CIN,L 3-5,CG,5,4,0,2,0,0,0,1,0,0,1,1,.272,.387,.494,.881,2,0,0,0,0,0,.667,1.90,0.008,0.14,0.00%,0.07,3,DH
66,687,75,2022-06-29,CHC,,CIN,W 8-3,CG,5,4,2,3,2,0,1,2,0,0,0,0,.280,.394,.519,.913,8,0,1,0,0,0,.667,0.31,0.080,0.02,0.00%,2.18,2,C
67,688,76,2022-06-30,CHC,,CIN,W 15-7,CG,6,5,2,2,1,0,0,0,0,0,1,1,.283,.397,.520,.917,3,0,0,0,0,0,.500,0.36,0.000,0.02,0.00%,0.35,2,DH
68,689,77,2022-07-01,CHC,,BOS,W 6-5,CG,5,2,2,0,0,0,0,0,0,0,3,2,.280,.400,.516,.916,0,0,0,0,0,0,,1.13,0.161,0.09,0.01%,0.81,2,C
69,690,78,2022-07-02,CHC,,BOS,W 3-1,GS-8,4,4,0,1,0,0,0,0,0,0,0,0,.280,.398,.512,.910,1,1,0,0,0,0,.250,0.69,-0.084,0.06,0.00%,-1.27,2,DH
70,691,79,2022-07-03,CHC,,BOS,L 2-4 (11),CG(11),5,4,0,1,0,0,0,1,0,1,1,2,.280,.398,.508,.906,1,0,0,0,0,0,.500,1.65,0.046,0.17,0.00%,0.68,2,DH
71,692,80,2022-07-04,CHC,@,MIL,L 2-5 (10),GS-10,5,5,0,0,0,0,0,0,0,0,0,2,.274,.392,.498,.890,0,0,0,0,0,0,.000,2.14,-0.286,0.21,-0.02%,-1.58,2,C
