Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,DFS(DK),DFS(FD),BOP,Pos
1,720,1,2024-03-29,MIL,@,NYM,W 3-1,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.82,-0.081,0.78,-0.05%,-0.89,0.00,0.00,5,SS
2,721,2,2024-03-30,MIL,@,NYM,W 7-6,CG,5,5,2,2,1,0,0,1,0,0,0,1,.222,.222,.333,.556,3,0,0,0,0,0,.500,0.60,0.163,0.60,0.10%,1.72,14.00,18.90,4,SS
3,722,3,2024-03-31,MIL,@,NYM,W 4-1,CG,5,3,0,2,0,0,0,1,0,0,2,0,.333,.429,.417,.845,2,0,0,0,0,0,.667,0.95,0.182,0.94,0.11%,2.02,12.00,15.50,4,SS
4,723,4,2024-04-02,MIL,,MIN,W 3-2,CG,4,4,0,1,0,0,0,0,1,0,0,0,.313,.389,.375,.764,1,0,0,0,0,0,.250,0.73,-0.037,0.71,-0.02%,-0.33,8.00,9.00,4,SS
5,724,5,2024-04-03,MIL,,MIN,L 3-7,CG,4,3,0,0,0,0,0,0,0,0,1,0,.263,.364,.316,.679,0,0,0,0,0,0,.000,0.62,-0.016,0.62,-0.01%,-0.15,2.00,3.00,4,SS
6,725,6,2024-04-05,MIL,,SEA,W 6-5,CG,4,3,1,2,0,0,1,1,0,1,1,0,.318,.423,.500,.923,5,0,0,0,0,0,.500,0.78,0.089,0.75,0.05%,0.90,19.00,24.70,4,SS
7,726,7,2024-04-06,MIL,,SEA,L 3-5,CG,4,3,0,1,0,0,0,0,0,0,1,1,.320,.433,.480,.913,1,0,0,0,0,0,.500,1.87,0.109,1.92,0.07%,0.45,5.00,6.00,4,SS
8,727,8,2024-04-07,MIL,,SEA,W 12-4,CG,5,5,1,1,0,0,1,1,0,0,0,2,.300,.400,.533,.933,4,0,0,0,0,0,.000,0.43,-0.045,0.42,-0.03%,-0.18,14.00,18.70,3,SS
9,728,9,2024-04-08,MIL,@,CIN,L 8-10,CG,5,5,0,0,0,0,0,0,0,0,0,1,.257,.350,.457,.807,0,0,0,0,0,0,.000,1.11,-0.148,1.27,-0.10%,-1.20,0.00,0.00,4,SS
10,729,10,2024-04-09,MIL,@,CIN,W 9-5,CG,5,5,1,1,1,0,0,0,0,0,0,2,.250,.333,.450,.783,2,0,0,0,0,0,.333,0.43,-0.042,0.47,-0.03%,-0.47,7.00,9.20,4,SS
11,730,11,2024-04-10,MIL,@,CIN,W 7-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.227,.306,.409,.715,0,0,0,0,0,0,.000,0.30,-0.030,0.35,-0.02%,-1.09,0.00,0.00,4,SS
12,731,12,2024-04-12,MIL,@,BAL,W 11-1,CG,5,5,3,3,1,0,1,3,0,0,0,1,.265,.333,.510,.844,7,0,0,0,0,0,.667,0.34,0.077,0.37,0.05%,2.22,30.00,41.10,4,SS
13,732,13,2024-04-13,MIL,@,BAL,W 11-5,CG,5,5,2,3,1,0,0,2,0,0,0,0,.296,.356,.537,.893,4,0,0,0,0,0,.600,0.90,0.094,0.96,0.06%,1.91,19.00,25.40,4,SS
14,733,14,2024-04-14,MIL,@,BAL,L 4-6,CG,4,4,1,2,0,0,0,0,0,0,0,1,.310,.365,.534,.900,2,0,0,0,0,0,.667,1.61,0.086,1.76,0.06%,0.19,8.00,9.20,4,SS
15,734,15,2024-04-15,MIL,,SDP,L 3-7,CG,4,2,0,1,0,0,0,1,0,0,2,0,.317,.388,.533,.921,1,0,0,0,0,0,.500,1.06,0.137,1.18,0.09%,1.76,9.00,12.50,4,SS
16,735,16,2024-04-16,MIL,,SDP,L 3-6,CG,5,3,1,0,0,0,0,0,0,0,2,1,.302,.389,.508,.897,0,0,0,0,0,0,.000,0.88,-0.037,0.97,-0.03%,-0.54,6.00,9.20,3,SS
17,736,17,2024-04-17,MIL,,SDP,W 1-0,CG,3,2,0,1,0,0,0,0,0,0,1,1,.308,.400,.508,.908,1,0,0,0,0,0,1.000,0.75,0.044,0.83,0.03%,0.41,5.00,6.00,4,SS
18,737,18,2024-04-19,MIL,@,STL,W 2-1 (10),CG(10),5,5,0,1,0,0,0,0,1,0,0,1,.300,.388,.486,.873,1,0,0,0,0,0,.250,1.09,-0.060,1.29,-0.04%,-0.56,8.00,9.00,3,SS
19,738,19,2024-04-20,MIL,@,STL,W 12-5,CG,6,6,1,2,1,0,0,1,0,0,0,1,.303,.384,.487,.871,3,0,0,0,0,0,.400,0.65,0.029,0.80,0.02%,1.23,12.00,15.70,3,SS
20,739,20,2024-04-21,MIL,@,STL,W 2-0,CG,4,4,0,2,1,0,0,0,0,0,0,1,.313,.389,.500,.889,3,0,0,0,0,0,.667,0.60,-0.016,0.75,-0.01%,0.00,8.00,9.00,3,SS
21,740,21,2024-04-22,MIL,@,PIT,L 2-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.301,.383,.482,.865,0,0,0,0,0,0,.000,1.04,-0.027,1.32,-0.02%,-0.18,2.00,3.00,3,SS
22,741,22,2024-04-23,MIL,@,PIT,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,3,.287,.367,.460,.827,0,0,0,0,0,0,.000,1.75,-0.188,2.25,-0.15%,-1.26,0.00,0.00,3,SS
23,742,23,2024-04-24,MIL,@,PIT,W 3-2,CG,5,4,0,1,0,0,0,0,0,0,0,1,.286,.369,.451,.819,1,1,1,0,0,0,.333,1.48,-0.127,1.86,-0.10%,-1.09,5.00,6.00,2,SS
24,743,24,2024-04-25,MIL,@,PIT,W 7-5,CG,5,3,1,0,0,0,0,0,1,0,2,2,.277,.370,.436,.807,0,0,0,0,0,0,.000,1.49,-0.027,1.82,-0.02%,-0.37,11.00,15.20,3,SS
25,744,25,2024-04-26,MIL,,NYY,W 7-6 (11),CG(11),5,4,0,1,0,0,0,1,0,0,1,0,.276,.372,.429,.800,1,0,0,0,0,0,.250,1.63,0.024,1.90,0.02%,-0.18,7.00,9.50,3,SS
26,745,26,2024-04-27,MIL,,NYY,L 3-15,GS-7,3,3,0,0,0,0,0,0,0,0,0,0,.267,.362,.416,.778,0,0,0,0,0,0,.000,0.36,-0.028,0.40,-0.02%,-0.57,0.00,0.00,2,SS
27,746,27,2024-04-28,MIL,,NYY,L 5-15,CG,5,4,1,2,1,0,0,1,0,0,1,1,.276,.372,.429,.800,3,0,0,0,0,0,.667,0.87,0.085,0.99,0.06%,0.93,14.00,18.70,3,SS
28,747,28,2024-04-29,MIL,,TBR,L 0-1,CG,4,3,0,0,0,0,0,0,1,0,1,1,.269,.368,.417,.785,0,0,0,0,0,0,.000,2.22,-0.046,2.55,-0.03%,-0.48,7.00,9.00,3,SS
29,748,29,2024-04-30,MIL,,TBR,W 8-2,CG,5,3,1,1,0,0,1,4,0,0,1,0,.270,.369,.441,.811,4,0,0,0,1,0,.000,0.70,0.094,0.77,0.06%,1.49,22.00,32.20,4,SS
30,749,30,2024-05-01,MIL,,TBR,W 7-1,CG,4,4,2,2,0,0,2,4,0,0,0,1,.278,.373,.496,.869,8,0,0,0,0,0,.000,0.47,0.058,0.54,0.04%,2.91,32.00,44.40,3,SS
31,750,31,2024-05-03,MIL,@,CHC,W 3-1,CG,4,4,1,1,0,0,0,1,1,0,0,1,.277,.370,.487,.857,1,0,0,0,0,0,.333,1.36,0.183,1.89,0.15%,0.29,12.00,15.70,4,SS
32,751,32,2024-05-04,MIL,@,CHC,L 5-6,CG,5,5,0,0,0,0,0,0,0,0,0,2,.266,.357,.468,.824,0,0,0,0,0,0,.000,1.94,-0.253,2.64,-0.21%,-1.37,0.00,0.00,4,SS
33,752,33,2024-05-05,MIL,@,CHC,L 0-5,CG,4,4,0,0,0,0,0,0,0,0,0,0,.258,.347,.453,.800,0,0,0,0,0,0,.000,1.01,-0.101,1.37,-0.08%,-1.05,0.00,0.00,4,SS
34,753,34,2024-05-06,MIL,@,KCR,L 2-3,CG,4,4,1,1,0,0,0,0,0,0,0,0,.258,.344,.447,.791,1,1,0,0,0,0,.250,1.63,-0.242,1.92,-0.17%,-0.86,5.00,6.20,4,SS
35,754,35,2024-05-07,MIL,@,KCR,W 6-5,CG,5,4,1,1,0,0,1,3,0,0,1,1,.257,.346,.463,.809,4,0,0,0,0,0,.000,1.40,0.668,1.63,0.47%,2.20,20.00,28.70,4,SS
36,755,36,2024-05-08,MIL,@,KCR,L 4-6,CG,4,4,0,1,0,0,0,0,1,0,0,1,.257,.344,.457,.801,1,0,0,0,0,0,.333,1.50,-0.069,1.78,-0.05%,-0.64,8.00,9.00,4,SS
37,756,37,2024-05-09,MIL,,STL,W 7-1,CG,4,3,0,0,0,0,0,0,1,0,1,2,.252,.341,.448,.789,0,0,0,0,0,0,.000,0.63,-0.017,0.79,-0.01%,-1.03,7.00,9.00,4,SS
38,757,38,2024-05-10,MIL,,STL,W 11-2,CG,4,4,2,3,3,0,0,2,0,0,0,0,.265,.351,.476,.827,6,0,0,0,0,0,.750,0.77,0.045,0.97,0.03%,2.77,23.00,31.40,4,SS
39,758,39,2024-05-11,MIL,,STL,W 5-3,CG,4,4,1,1,0,0,0,0,0,0,0,1,.265,.349,.470,.819,1,0,0,0,0,0,.333,1.97,-0.113,2.46,-0.09%,-1.05,5.00,6.20,3,SS
40,759,40,2024-05-12,MIL,,STL,L 3-4,CG,4,4,1,0,0,0,0,0,0,0,0,1,.258,.341,.458,.799,0,1,0,0,0,0,.000,1.55,-0.068,1.91,-0.05%,-0.49,2.00,3.20,4,SS
41,760,41,2024-05-13,MIL,,PIT,L 6-8,CG,5,5,0,1,1,0,0,2,0,0,0,1,.256,.337,.456,.793,2,0,0,0,0,0,.250,1.25,-0.109,1.60,-0.08%,0.38,9.00,13.00,4,SS
42,761,42,2024-05-14,MIL,,PIT,W 4-3,CG,4,4,0,1,0,0,0,0,0,0,0,1,.256,.335,.451,.786,1,1,0,0,0,0,.333,0.83,-0.140,1.07,-0.11%,-1.95,3.00,3.00,4,SS
43,762,43,2024-05-15,MIL,,PIT,W 10-2,CG,5,4,0,0,0,0,0,0,0,0,1,1,.250,.332,.440,.772,0,0,0,0,0,0,.000,0.29,-0.036,0.36,-0.03%,-0.39,2.00,3.00,2,SS
44,763,44,2024-05-17,MIL,@,HOU,L 4-5,CG,4,4,0,1,0,0,0,0,1,0,0,0,.250,.330,.436,.766,1,0,0,0,0,0,.250,1.50,0.010,1.76,0.01%,0.01,8.00,9.00,4,SS
45,764,45,2024-05-18,MIL,@,HOU,W 4-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.244,.323,.426,.749,0,0,0,0,0,0,.000,0.69,-0.070,0.82,-0.05%,-0.85,0.00,0.00,4,SS
46,765,46,2024-05-19,MIL,@,HOU,L 4-9,CG,4,4,0,0,0,0,0,0,0,0,0,1,.239,.317,.417,.734,0,0,0,0,0,0,.000,1.22,-0.127,1.43,-0.09%,-1.15,0.00,0.00,4,SS
47,766,47,2024-05-20,MIL,@,MIA,L 2-3 (10),CG(10),5,5,0,0,0,0,0,0,0,0,0,3,.232,.309,.405,.715,0,0,0,0,0,0,.000,2.21,-0.299,2.64,-0.22%,-1.88,0.00,0.00,4,SS
48,767,48,2024-05-21,MIL,@,MIA,W 7-5,CG,5,5,0,2,2,0,0,1,0,0,0,2,.237,.311,.416,.727,4,0,0,0,0,0,.667,1.25,0.109,1.44,0.08%,0.67,12.00,15.50,4,SS
49,768,49,2024-05-22,MIL,@,MIA,L 0-1,CG,3,3,0,1,0,0,0,0,0,1,0,0,.238,.312,.415,.726,1,0,0,0,0,0,.333,1.01,-0.042,1.24,-0.03%,-0.29,3.00,3.00,4,SS
50,769,50,2024-05-24,MIL,@,BOS,W 7-2,CG,5,4,0,2,2,0,0,2,0,0,1,1,.244,.318,.426,.745,4,0,0,0,0,0,.667,0.48,0.048,0.55,0.03%,2.47,16.00,22.00,4,SS
51,770,51,2024-05-25,MIL,@,BOS,W 6-3,CG,5,4,1,1,1,0,0,0,0,0,1,1,.244,.320,.428,.748,2,1,0,0,0,0,.333,0.62,0.049,0.73,0.04%,-0.80,9.00,12.20,4,SS
52,771,52,2024-05-26,MIL,@,BOS,L 1-2,CG,4,4,0,1,0,0,0,0,0,0,0,3,.244,.319,.424,.743,1,0,0,0,0,0,1.000,1.49,-0.107,1.86,-0.08%,-0.66,3.00,3.00,4,SS
53,772,53,2024-05-27,MIL,,CHC,W 5-1,CG,4,4,1,2,0,0,1,3,0,0,0,0,.249,.322,.440,.762,5,0,0,0,0,0,.333,0.89,0.036,1.24,0.03%,1.76,21.00,28.70,3,SS
54,773,54,2024-05-28,MIL,,CHC,L 3-6 (10),CG(10),4,4,1,1,0,0,0,1,0,0,0,0,.249,.321,.437,.757,1,0,0,0,0,0,.250,2.19,0.261,3.06,0.22%,0.02,7.00,9.70,4,SS
55,774,55,2024-05-29,MIL,,CHC,W 10-6,CG,4,3,2,2,0,0,1,3,0,0,1,0,.255,.328,.454,.782,5,0,0,0,0,0,.500,0.64,0.082,0.91,0.07%,2.56,25.00,34.90,4,SS
56,775,56,2024-05-30,MIL,,CHC,W 6-4,CG,4,3,1,2,1,0,0,0,0,0,1,1,.260,.335,.461,.796,3,0,0,0,0,0,1.000,0.96,0.084,1.37,0.07%,0.89,12.00,15.20,4,SS
57,776,57,2024-05-31,MIL,,CHW,W 12-5,CG,6,4,1,0,0,0,0,0,0,0,2,1,.256,.335,.453,.788,0,1,0,0,0,0,.000,1.35,-0.068,1.60,-0.05%,-1.17,6.00,9.20,4,SS
