Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,865,1,2022-04-08,SFG,,MIA,W 6-5 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,0,0,0,0,0,.000,0.42,-0.042,0.39,-0.02%,-0.84,6,3B
2,866,2,2022-04-09,SFG,,MIA,L 1-2,CG,4,4,0,1,1,0,0,0,0,0,0,1,.125,.125,.250,.375,2,0,0,0,0,0,.333,1.20,0.006,1.15,0.00%,0.00,6,3B
3,867,3,2022-04-10,SFG,,MIA,W 3-2,CG,4,2,0,0,0,0,0,1,0,0,1,0,.100,.167,.200,.367,0,0,0,0,1,0,.000,0.86,0.025,0.81,0.01%,0.03,4,DH
4,868,5,2022-04-12,SFG,,SDP,W 13-2,CG,5,5,3,3,0,0,1,2,0,0,0,1,.267,.294,.533,.827,6,0,0,0,0,0,.667,0.31,0.057,0.29,0.03%,2.02,6,3B 1B
5,869,6,2022-04-13,SFG,,SDP,W 2-1,CG,3,3,0,1,0,0,0,0,0,0,0,0,.278,.300,.500,.800,1,0,0,0,0,0,.333,0.94,0.004,0.98,0.00%,0.16,3,1B
6,870,7,2022-04-15,SFG,@,CLE,W 4-1,CG,4,4,0,1,1,0,0,0,0,0,0,2,.273,.292,.500,.792,2,0,0,0,0,0,.500,0.75,-0.033,0.73,-0.02%,-0.25,6,3B
7,871,8,2022-04-16,SFG,@,CLE,W 4-2,GS-8,4,4,0,0,0,0,0,1,0,0,0,1,.231,.250,.423,.673,0,0,0,0,0,0,.000,2.12,-0.008,2.14,-0.01%,-0.64,6,3B
8,872,9,2022-04-17,SFG,@,CLE,W 8-1,GS-7,4,3,1,1,1,0,0,0,0,0,1,0,.241,.281,.448,.730,2,0,0,0,0,0,.333,0.55,0.058,0.57,0.04%,0.22,6,3B
9,873,10,2022-04-19 (1),SFG,@,NYM,L 4-5 (10),CG(10),5,4,0,0,0,0,0,0,0,0,1,0,.212,.270,.394,.664,0,0,0,0,0,0,.000,1.44,-0.085,1.52,-0.05%,-0.68,3,DH
10,874,12,2022-04-20,SFG,@,NYM,W 5-2,CG,4,4,0,1,0,0,0,1,0,0,0,0,.216,.268,.378,.647,1,0,0,0,0,0,.250,0.52,0.058,0.55,0.04%,0.49,6,3B
11,875,13,2022-04-21,SFG,@,NYM,L 2-6,CG,3,3,0,1,0,0,0,0,0,0,0,0,.225,.273,.375,.648,1,0,0,0,0,0,.333,0.80,0.045,0.87,0.03%,0.30,6,3B
12,876,14,2022-04-22,SFG,@,WSN,W 7-1,CG,5,4,1,1,0,0,0,0,0,0,1,1,.227,.286,.364,.649,1,0,0,0,0,0,.333,0.21,-0.007,0.21,0.00%,-0.49,2,3B
13,877,15,2022-04-23,SFG,@,WSN,W 5-2,CG,4,4,1,2,1,0,0,0,0,0,0,0,.250,.302,.396,.698,3,0,0,0,0,0,.500,0.59,0.055,0.63,0.04%,0.55,6,3B
14,878,16,2022-04-24,SFG,@,WSN,W 12-3,CG,5,5,1,3,0,0,0,3,0,0,0,1,.283,.328,.415,.743,3,0,0,0,0,0,.750,0.77,0.195,0.84,0.13%,2.48,5,DH
15,879,17,2022-04-25,SFG,@,MIL,W 4-2,CG,4,3,1,0,0,0,0,0,0,0,1,2,.268,.323,.393,.715,0,0,0,0,0,0,.000,1.19,-0.056,1.30,-0.04%,-0.50,5,DH
16,880,18,2022-04-26,SFG,,OAK,W 8-2,CG,4,4,2,2,1,0,1,4,0,0,0,0,.283,.333,.467,.800,6,0,0,0,0,0,.333,0.74,0.316,0.78,0.20%,3.09,5,DH
17,881,19,2022-04-27,SFG,,OAK,L 0-1,CG,4,4,0,0,0,0,0,0,0,0,0,2,.266,.314,.438,.752,0,0,0,0,0,0,.000,1.44,-0.146,1.56,-0.09%,-0.66,3,DH
18,882,20,2022-04-29,SFG,,WSN,L 4-14,CG,5,5,0,3,0,0,0,0,0,0,0,0,.290,.333,.449,.783,3,1,0,0,0,0,.600,0.39,-0.010,0.43,-0.01%,0.64,3,DH
19,883,21,2022-04-30,SFG,,WSN,W 9-3,CG,5,2,1,0,0,0,0,0,0,0,2,1,.282,.350,.437,.787,0,1,1,0,0,0,.000,0.71,0.045,0.76,0.03%,-0.58,3,DH
20,884,22,2022-05-01,SFG,,WSN,L 5-11,CG,5,4,1,0,0,0,0,1,0,0,1,0,.267,.341,.413,.755,0,0,0,0,0,0,.000,0.39,-0.016,0.44,-0.01%,-0.43,3,DH
21,885,23,2022-05-03,SFG,@,LAD,L 1-3,CG,4,3,1,1,0,0,0,0,0,0,1,2,.269,.348,.410,.759,1,0,0,0,0,0,1.000,1.13,0.120,1.38,0.09%,0.61,4,DH
22,886,24,2022-05-04,SFG,@,LAD,L 1-9,CG,4,4,0,1,0,0,0,0,0,0,0,0,.268,.344,.402,.747,1,0,0,0,0,0,.250,0.86,0.006,1.04,0.00%,-0.25,2,1B
23,887,25,2022-05-05,SFG,,STL,L 1-7,CG,4,4,0,2,0,0,0,0,0,0,0,0,.279,.351,.407,.758,2,0,0,0,0,0,.500,0.69,-0.015,0.73,-0.01%,-0.30,3,1B
