Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,926,1,2021-04-01,CHW,@,LAA,L 3-4,CG,4,3,0,0,0,0,0,0,0,0,1,1,.000,.250,.000,.250,0,0,0,0,0,0,.000,1.17,-0.069,1.12,-0.04%,-0.63,5,C
2,927,2,2021-04-02,CHW,@,LAA,W 12-8,CG,5,5,2,2,1,0,0,2,0,0,0,0,.250,.333,.375,.708,3,0,0,0,0,0,.400,0.75,0.074,0.70,0.04%,2.71,6,C
3,928,4,2021-04-04,CHW,@,LAA,L 4-7,CG,4,3,0,0,0,0,0,0,0,0,1,2,.182,.308,.273,.580,0,0,0,0,0,0,.000,1.61,-0.111,1.48,-0.06%,-0.59,6,C
4,929,5,2021-04-05,CHW,@,SEA,W 6-0,CG,5,4,2,2,0,0,1,3,0,0,1,0,.267,.389,.533,.922,5,0,0,0,0,0,.333,0.60,0.197,0.55,0.11%,3.16,6,C
5,930,7,2021-04-07,CHW,@,SEA,L 4-8,CG,5,2,0,0,0,0,0,1,0,0,3,1,.235,.435,.471,.905,0,0,0,0,0,0,.000,1.53,0.213,1.48,0.12%,1.76,4,C
6,931,8,2021-04-08,CHW,,KCR,W 6-0,CG,4,2,1,0,0,0,0,0,0,0,2,2,.211,.444,.421,.865,0,0,0,0,0,0,,0.23,0.018,0.24,0.01%,0.74,6,C
7,932,10,2021-04-12,CHW,,CLE,W 4-3,CG,4,3,0,0,0,0,0,0,0,0,1,1,.182,.419,.364,.783,0,1,0,0,0,0,.000,1.80,-0.157,1.92,-0.10%,-1.44,6,C
8,933,11,2021-04-13,CHW,,CLE,L 0-2 (10),CG(10),4,4,0,0,0,0,0,0,0,0,0,0,.154,.371,.308,.679,0,0,0,0,0,0,.000,1.51,-0.160,1.69,-0.11%,-0.92,6,C
9,934,13,2021-04-15,CHW,,CLE,L 2-4,CG,4,4,0,0,0,0,0,0,0,0,0,0,.133,.333,.267,.600,0,0,0,0,0,0,.000,0.93,-0.100,1.02,-0.07%,-1.00,6,C
10,935,15,2021-04-18 (1),CHW,@,BOS,W 3-2 (7),CG(7),3,3,0,1,1,0,0,1,0,0,0,0,.152,.333,.303,.636,2,1,0,0,0,0,.333,0.94,0.046,0.85,0.03%,0.08,6,C
11,936,17,2021-04-19,CHW,@,BOS,L 4-11,GS-7,3,3,0,0,0,0,0,0,0,0,0,1,.139,.311,.278,.589,0,0,0,0,0,0,.000,0.46,-0.040,0.47,-0.02%,-0.79,5,C
