Rk,Gcar,Gtm,Date,Team,,Opp,Result,Inngs,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GIDP,HBP,SH,SF,IBB,BAbip,aLI,WPA,acLI,cWPA,RE24,BOP,Pos
1,1,14,2023-04-15,LAA,@,BOS,L 7-9,CG,4,4,0,0,0,0,0,0,0,0,0,2,.000,.000,.000,.000,0,0,0,0,0,0,.000,1.31,-0.150,1.28,-0.09%,-1.38,8,SS
2,2,15,2023-04-16,LAA,@,BOS,L 1-2,CG,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,2,0,0,0,0,.000,1.87,-0.295,1.79,-0.17%,-2.15,1,SS
3,3,16,2023-04-17,LAA,@,BOS,W 5-4,CG,5,5,1,1,0,0,0,0,0,0,0,1,.077,.077,.077,.154,1,0,0,0,0,0,.250,0.52,-0.016,0.50,-0.01%,-0.15,1,SS
4,4,17,2023-04-18,LAA,@,NYY,W 5-2,CG,4,3,0,0,0,0,0,0,0,0,0,0,.063,.118,.063,.180,0,0,1,0,0,0,.000,0.32,-0.013,0.32,-0.01%,-0.25,8,SS
5,5,18,2023-04-19,LAA,@,NYY,L 2-3 (10),CG(10),4,3,0,2,2,0,0,0,0,0,0,0,.158,.238,.263,.501,4,0,1,0,0,0,.667,1.65,0.194,1.75,0.12%,1.74,9,SS
6,6,19,2023-04-20,LAA,@,NYY,L 3-9,CG,4,3,0,0,0,0,0,0,0,0,0,2,.136,.240,.227,.467,0,1,1,0,0,0,.000,1.18,-0.100,1.17,-0.06%,-1.52,9,SS
7,7,20,2023-04-21,LAA,,KCR,W 2-0,CG,3,1,1,0,0,0,0,0,0,0,0,0,.130,.286,.217,.503,0,0,2,0,0,0,.000,0.64,0.011,0.61,0.01%,-0.12,8,SS
8,8,21,2023-04-22,LAA,,KCR,L 8-11,CG,4,4,0,2,0,0,0,1,0,0,0,1,.185,.313,.259,.572,2,0,0,0,0,0,.667,1.25,0.181,1.19,0.10%,0.88,9,SS
9,9,22,2023-04-23,LAA,,KCR,W 4-3,CG,3,3,0,1,0,0,0,0,0,0,0,1,.200,.314,.267,.581,1,0,0,0,0,0,.500,0.66,-0.030,0.61,-0.02%,-0.23,9,SS
10,10,23,2023-04-24,LAA,,OAK,L 10-11 (10),CG(10),5,4,0,2,1,0,0,2,0,0,0,0,.235,.350,.324,.674,3,0,1,0,0,0,.500,2.16,0.385,2.12,0.23%,1.94,9,SS
11,11,24,2023-04-25,LAA,,OAK,W 5-3,CG,4,4,0,0,0,0,0,0,0,0,0,0,.211,.318,.289,.608,0,0,0,0,0,0,.000,0.65,-0.055,0.61,-0.03%,-0.89,9,SS
12,12,25,2023-04-26,LAA,,OAK,W 11-3,CG,4,4,1,1,1,0,0,1,0,0,0,2,.214,.313,.310,.622,2,0,0,0,0,0,.500,0.41,0.052,0.39,0.03%,0.07,9,SS
